ax,ay,az,gx,gy,gz,mx,my,mz,timestamp
0.10,-9.75,-1.54,0.10,0.03,-0.10,-5.96,-28.94,25.29,11304
0.28,-9.78,-0.96,0.20,0.07,-0.13,-6.80,-28.59,25.64,11338
0.45,-9.69,-0.90,0.18,0.03,-0.11,-7.59,-27.67,26.09,11373
1.19,-9.60,-1.06,0.05,-0.07,-0.15,-6.71,-28.30,26.31,11407
1.21,-9.24,-1.06,-0.43,0.12,0.03,-6.50,-29.19,25.42,11441
1.15,-9.63,-1.77,-1.03,0.09,0.02,-6.34,-31.18,24.83,11475
-0.51,-8.57,-2.65,-1.07,0.18,-0.30,-6.71,-33.03,23.79,11509
4.50,-10.04,-0.67,-1.15,0.41,-0.03,-6.74,-35.08,22.11,11543
1.82,-9.86,-0.35,-1.47,1.81,0.50,-9.25,-35.74,20.15,11578
3.34,-7.74,-4.14,-3.91,1.12,0.47,-12.26,-39.17,16.21,11612
3.23,-9.21,-3.78,-2.73,2.60,1.28,-16.50,-41.74,11.50,11646
0.27,-7.27,-5.91,-3.03,3.89,2.29,-23.17,-42.74,4.05,11680
-3.13,-10.33,-10.19,-4.78,3.82,3.07,-28.72,-42.18,-5.60,11714
-5.04,-8.62,-8.50,-1.09,3.48,2.66,-33.70,-39.64,-10.95,11749
-4.94,-9.40,-7.51,-0.68,2.13,1.14,-36.50,-37.62,-16.28,11783
-4.51,-7.80,-6.60,-0.20,0.90,0.10,-37.59,-36.80,-17.98,11817
-3.95,-6.57,-6.30,-0.00,0.44,-0.13,-38.28,-36.88,-18.72,11851
-4.25,-6.06,-5.30,-0.07,0.35,0.20,-39.16,-36.73,-19.39,11885
-4.54,-6.36,-6.28,-0.42,0.54,0.68,-40.13,-36.01,-20.93,11919
-5.34,-7.20,-6.71,-0.82,0.56,1.08,-42.27,-34.51,-21.79,11954
-4.60,-6.77,-7.47,-1.01,0.09,0.82,-43.72,-33.19,-22.95,11988
-4.04,-5.60,-7.65,-0.56,-0.22,0.49,-45.60,-32.67,-23.12,12022
-1.22,-4.28,-7.27,-0.11,-0.82,-0.14,-46.81,-33.47,-22.05,12056
0.88,-2.12,-5.22,0.09,-1.31,-0.72,-46.80,-35.57,-20.30,12090
4.27,2.67,-0.15,-0.40,-1.27,-0.92,-48.20,-38.95,-17.44,12125
39.16,7.34,-4.42,-5.31,0.61,-5.02,-48.68,-42.58,-23.24,12159
-3.30,-6.16,-9.25,0.40,3.98,-0.48,-49.94,-41.73,-29.90,12193
-0.50,-12.09,-12.49,-3.25,1.57,0.96,-51.05,-40.00,-36.22,12227
1.18,-4.99,-14.07,-1.28,0.45,1.93,-53.76,-37.52,-37.87,12261
-0.45,-6.32,-11.78,-0.54,-0.18,2.99,-59.18,-30.62,-37.87,12295
0.95,-7.44,-9.72,-0.25,-0.53,3.47,-63.83,-22.83,-35.37,12330
6.84,-6.20,-7.62,-0.53,0.82,3.98,-66.69,-14.59,-35.33,12364
-1.29,-6.56,-4.39,0.33,1.07,3.78,-68.72,-2.16,-35.81,12398
2.40,-5.58,-6.88,0.53,0.92,1.51,-69.69,3.60,-36.33,12432
0.25,-1.74,-8.52,0.41,1.18,0.68,-69.67,8.11,-36.95,12466
0.75,-4.51,-10.35,0.38,0.92,0.84,-70.11,11.81,-37.18,12500
2.16,-3.18,-7.72,0.84,1.17,0.48,-69.76,14.47,-37.85,12535
5.50,-3.96,-8.79,0.46,0.94,0.38,-69.19,17.85,-37.87,12569
6.17,-6.10,-6.50,0.68,1.06,0.31,-68.47,20.51,-38.69,12603
4.14,1.85,-6.52,1.23,1.23,-0.32,-67.86,21.57,-40.73,12637
4.82,-5.22,-7.00,0.63,0.85,-0.22,-67.79,22.27,-42.14,12671
8.01,-3.85,-5.21,1.02,1.33,0.03,-66.60,22.87,-43.64,12706
-2.92,-6.13,-10.74,1.57,1.04,0.82,-64.44,25.81,-46.43,12740
-3.48,-7.42,-12.37,1.33,-0.65,0.91,-63.48,27.46,-45.85,12774
-6.67,-10.55,-26.50,-1.98,-2.12,2.20,-62.61,33.60,-38.60,12808
-2.83,-0.03,-26.83,5.72,-0.09,0.84,-59.63,38.16,-37.50,12842
26.31,39.16,-36.28,1.07,6.43,-2.38,-57.02,34.54,-48.48,12876
1.14,1.43,-9.14,3.98,4.17,-9.11,-63.65,16.71,-52.13,12911
2.06,1.77,-13.63,-0.24,0.53,-6.67,-67.61,2.50,-49.33,12945
8.99,3.68,-2.34,0.19,-0.35,-2.70,-68.58,-6.14,-43.82,12979
8.38,3.28,3.34,1.53,-1.05,0.64,-68.65,-8.20,-35.24,13013
7.48,-0.64,4.62,1.47,-1.88,1.10,-68.30,-6.69,-26.86,13047
1.54,-3.35,1.16,0.22,-2.88,0.43,-66.50,-6.20,-12.99,13082
6.95,-3.38,-1.81,0.31,-3.82,-4.10,-62.85,-13.40,-2.37,13116
6.66,-1.16,-3.94,0.78,-3.47,-3.83,-56.02,-20.61,8.16,13150
7.25,2.77,-5.71,0.60,-3.29,-3.69,-45.41,-27.16,18.39,13184
6.78,2.09,-6.99,0.59,-2.89,-2.00,-36.52,-28.53,22.77,13218
3.77,0.04,-9.91,0.40,-2.46,0.44,-30.14,-27.45,25.48,13252
0.39,-3.84,-9.58,0.16,-2.39,0.66,-23.25,-24.66,26.67,13287
1.09,-4.50,-9.89,-0.29,-2.70,-0.88,-16.18,-23.98,27.27,13321
6.90,-2.40,-10.62,-0.52,-3.02,-2.14,-5.48,-23.37,26.44,13355
11.38,2.55,-5.05,-0.78,-2.20,-0.35,1.62,-22.03,24.06,13389
28.62,-6.50,-14.26,0.00,1.09,0.01,5.38,-21.10,20.81,13423
-0.87,-3.80,-11.07,-0.83,0.96,0.68,5.35,-20.56,17.79,13458
5.66,-2.12,-11.07,-0.71,0.47,-0.08,5.74,-19.64,15.26,13492
3.00,-1.78,-10.31,-0.68,0.54,-0.34,6.40,-18.71,12.89,13526
1.64,1.20,-10.18,-0.14,0.60,-0.28,7.41,-17.66,10.89,13560
1.37,-0.24,-11.22,-0.16,0.24,-0.06,8.35,-17.19,10.29,13594
2.46,-4.23,-8.07,-0.49,-0.35,0.19,10.74,-17.26,7.75,13628
5.22,-3.76,-8.77,-0.38,-0.88,0.24,13.68,-17.42,6.49,13663
2.86,-5.54,-10.57,-0.20,-1.04,1.39,15.38,-18.39,4.66,13697
5.38,-7.49,-7.53,-0.19,-0.55,2.34,16.91,-20.08,3.84,13731
3.80,-5.71,-6.99,-0.13,0.36,2.02,16.37,-21.81,2.54,13765
-0.74,-4.09,-9.93,0.25,0.74,2.34,16.43,-24.00,3.83,13799
-2.35,-3.55,-10.82,0.52,0.72,0.86,16.18,-24.90,5.66,13833
-7.21,-5.09,-12.27,0.88,0.39,0.04,16.27,-24.52,6.37,13868
-4.84,-2.95,-12.91,0.98,-0.10,-0.39,18.82,-22.90,7.76,13902
-10.51,0.36,-11.65,1.52,-1.09,-1.39,21.57,-19.58,8.87,13936
-10.80,3.12,-14.52,1.91,-2.20,-2.54,26.40,-13.05,3.79,13970
-4.94,16.79,-12.69,2.19,-3.19,-4.64,32.13,-3.70,-0.41,14004
-7.14,20.41,-18.89,0.07,-3.62,-7.69,31.88,5.52,-8.87,14039
0.68,18.32,-11.39,-0.85,-2.16,-6.62,26.70,13.50,-18.04,14073
10.71,17.09,-14.05,-0.96,-0.75,-4.40,23.43,16.91,-23.47,14107
8.36,-2.21,-12.08,-1.56,-0.11,-0.25,21.91,17.03,-28.30,14141
14.58,-1.41,-8.10,-2.05,0.67,-2.09,20.40,17.30,-31.73,14175
15.59,3.51,-6.61,-1.72,0.22,0.28,20.26,17.90,-34.86,14209
7.26,-3.69,-7.03,-2.35,0.19,0.87,20.72,18.11,-37.56,14244
0.51,-10.80,-11.94,-2.53,-1.29,3.55,21.97,16.62,-39.71,14278
-3.77,-7.25,-14.17,-1.06,-2.64,5.90,23.47,14.22,-44.72,14312
-11.03,-2.87,-18.13,-0.79,-2.42,7.83,24.06,8.17,-51.96,14346
-3.16,-17.59,-8.72,-0.25,-0.36,10.27,24.77,2.16,-56.28,14380
5.96,-16.98,-10.27,0.72,0.87,3.35,23.57,0.22,-63.48,14415
-3.69,-9.79,-11.08,1.32,0.91,3.91,22.55,-1.90,-62.82,14449
15.33,-4.13,-9.20,2.05,-0.09,-1.45,18.39,-1.56,-64.75,14483
9.25,22.79,-5.19,3.55,-0.03,-2.73,13.80,-2.19,-65.57,14517
5.44,7.97,-4.31,1.69,0.41,-2.37,9.66,-1.02,-65.77,14551
2.38,3.34,-11.04,0.68,0.47,-3.03,6.77,0.73,-67.35,14585
-1.95,-1.16,-11.19,0.66,0.04,-3.31,1.11,1.18,-69.25,14620
-7.85,-2.21,-13.29,1.15,-0.69,-3.24,-5.07,-0.28,-70.14,14654
-9.10,3.01,-11.11,1.13,-1.77,-3.14,-12.60,-4.24,-71.08,14688
-8.88,8.30,-10.30,0.54,-2.27,-4.08,-23.91,-8.99,-69.26,14722
-3.99,13.04,-9.83,-0.10,-1.53,-3.68,-30.87,-14.35,-65.24,14756
