ax,ay,az,gx,gy,gz,mx,my,mz,timestamp
-1.06,9.72,-1.11,0.11,-0.08,-0.10,-1.53,-64.67,28.05,39934
-0.99,9.59,-1.35,0.07,-0.12,-0.07,-1.26,-64.69,28.50,39968
-1.11,9.49,-1.78,0.15,-0.10,-0.07,-0.75,-64.40,28.24,40002
-1.24,9.57,-1.54,0.17,-0.13,-0.07,-0.79,-64.66,28.98,40037
-2.15,9.84,-0.90,0.21,-0.32,-0.00,-0.67,-64.44,28.94,40071
-4.96,10.44,-0.02,0.47,-1.13,0.25,0.61,-64.83,29.32,40105
1.04,10.07,-0.29,0.46,-1.41,-0.25,3.00,-64.00,30.36,40139
-3.17,12.79,-4.41,0.76,-0.91,0.06,5.00,-63.04,31.63,40173
-1.67,9.69,-2.48,0.68,-1.73,-0.13,7.91,-62.93,32.18,40208
-4.26,9.26,-1.66,0.89,-2.03,-0.45,12.32,-61.31,33.69,40242
-5.55,8.88,-1.19,1.20,-3.25,-0.37,17.63,-60.52,34.41,40276
-4.51,8.29,-3.58,1.20,-3.97,-0.37,24.64,-58.99,34.27,40310
-3.90,5.72,-10.06,1.75,-5.35,0.13,34.80,-56.90,31.72,40344
-0.48,8.37,-7.29,3.04,-7.00,1.44,42.81,-54.82,28.08,40378
5.16,11.67,-2.62,2.29,-5.98,0.85,51.80,-53.46,21.32,40413
4.19,11.15,-2.06,-0.13,0.14,-1.07,53.83,-51.53,20.23,40447
2.56,10.33,-3.69,-0.33,-0.59,-0.51,54.69,-51.13,19.41,40481
0.05,10.36,-2.09,0.00,-0.91,-0.11,55.45,-51.37,19.00,40515
-3.94,9.55,-1.41,-0.05,-0.57,-0.09,55.57,-51.08,17.98,40549
-4.10,8.75,-1.99,-0.08,-0.64,-0.02,56.15,-51.87,16.49,40583
-5.80,7.92,-3.37,-0.36,-0.31,-0.02,55.48,-51.83,16.28,40618
-6.77,6.64,-4.36,-0.37,-0.24,0.05,54.84,-52.86,14.50,40652
-6.64,7.34,-1.81,-0.23,-0.26,-0.08,55.23,-53.03,14.26,40686
-3.95,8.33,-1.68,-0.21,-0.46,-0.47,56.08,-52.88,13.62,40720
-1.82,8.92,-2.25,-0.42,-0.73,-0.82,56.64,-51.58,11.28,40754
-2.79,8.36,-5.43,-0.22,-0.95,-0.95,58.30,-49.77,9.22,40789
-1.89,9.34,-0.84,0.07,-1.67,-0.93,60.01,-48.61,7.02,40823
-3.45,9.99,1.01,-0.12,-0.75,-0.70,61.88,-46.01,5.19,40857
-8.80,8.51,-0.09,-0.29,-0.97,-0.51,62.53,-45.64,3.65,40891
-8.27,11.40,-0.56,-0.81,-1.01,-0.81,63.26,-44.58,1.30,40925
-4.54,10.78,-14.03,-0.95,-1.44,-0.89,64.26,-42.55,-3.05,40959
8.09,14.46,-16.00,0.25,-1.10,0.16,63.01,-42.14,-4.84,40994
-11.87,16.09,-8.63,-2.70,-1.34,-0.93,60.48,-42.17,-5.25,41028
-32.86,-8.69,-31.54,0.50,-3.57,-3.00,59.30,-35.57,-12.17,41062
5.19,0.13,-0.41,-4.37,2.12,-5.84,57.59,-26.13,-11.96,41096
1.84,3.95,-4.79,-1.36,5.83,-4.49,52.97,-17.22,-0.38,41130
-5.18,1.72,-5.26,-0.92,5.78,-3.19,44.78,-13.80,8.37,41165
-3.80,2.70,-1.19,-1.05,3.60,-0.23,37.09,-13.64,13.80,41199
-4.07,4.19,-0.00,-1.10,2.76,1.81,27.64,-16.47,14.02,41233
-3.82,6.09,1.30,-1.06,2.73,2.75,20.17,-20.17,13.69,41267
-3.86,9.03,2.09,-0.65,3.54,3.01,11.87,-22.10,12.96,41301
-7.24,10.02,-0.73,-0.61,3.78,2.90,2.46,-23.17,10.51,41335
-10.71,9.75,-1.46,-0.55,2.18,3.23,-4.95,-22.48,7.42,41370
-13.48,11.60,-0.67,-0.29,0.75,2.75,-11.37,-20.42,5.03,41404
-14.38,10.60,-0.48,-0.22,-0.31,2.02,-13.93,-18.23,4.71,41438
-4.27,2.70,-0.94,-0.14,-2.14,0.05,-14.76,-17.29,5.33,41472
-29.15,9.18,-3.14,1.35,-2.55,1.09,-14.13,-16.03,7.00,41506
-9.80,7.40,2.60,0.54,-2.95,-0.05,-12.85,-14.85,9.02,41541
-2.72,11.01,-1.06,0.15,-1.92,0.12,-11.84,-14.92,10.35,41575
-4.35,9.46,-2.38,-0.67,-1.46,-0.76,-10.93,-16.25,11.33,41609
-2.84,10.67,-2.58,-0.77,-1.07,-0.72,-10.96,-18.42,11.62,41643
-0.65,12.80,-1.69,-1.14,-1.08,-0.32,-10.16,-21.21,11.88,41677
2.31,10.16,-6.38,-1.59,-0.42,-0.30,-10.98,-24.36,11.28,41711
4.58,10.98,-6.02,-1.88,0.76,-0.26,-13.91,-27.97,8.35,41746
