ax,ay,az,gx,gy,gz,mx,my,mz,timestamp
0.99,9.45,-0.40,0.23,0.00,-0.23,-21.25,4.25,-50.98,30852
0.75,9.41,0.01,0.25,0.12,-0.27,-21.43,4.12,-51.21,30886
0.93,9.82,0.30,0.25,0.12,-0.33,-20.87,3.71,-51.51,30920
0.71,9.52,0.35,0.16,0.13,-0.32,-20.46,3.27,-51.87,30955
0.55,10.10,0.26,0.24,0.05,-0.35,-20.21,2.27,-51.15,30989
0.28,10.16,-0.37,0.00,-0.07,-0.26,-18.99,1.20,-50.82,31023
0.66,10.28,-0.17,-0.19,-0.03,-0.08,-19.58,0.98,-51.32,31057
0.55,9.06,-0.35,-0.16,0.07,-0.07,-18.90,0.57,-50.58,31091
0.57,9.46,-0.69,0.08,0.16,-0.14,-18.25,0.16,-50.64,31125
-0.02,10.21,-0.99,0.14,0.03,-0.12,-18.37,-0.39,-50.45,31160
0.27,9.38,-1.02,0.17,-0.24,-0.08,-18.50,-1.36,-50.91,31194
0.19,9.43,-0.21,0.22,-0.12,-0.11,-19.00,-2.25,-50.95,31228
0.06,9.11,0.49,0.21,-0.20,-0.17,-18.87,-2.56,-50.79,31262
-0.11,9.03,0.42,0.26,-0.16,-0.20,-19.19,-3.35,-50.94,31296
0.08,9.23,-0.86,0.32,0.03,-0.30,-19.51,-3.99,-50.86,31331
-1.61,8.18,-1.15,0.42,-0.01,-0.34,-19.38,-4.74,-50.98,31365
0.21,9.95,-1.92,0.50,-0.12,-0.26,-19.72,-6.05,-51.81,31399
-0.27,9.29,-0.48,0.47,-0.44,-0.14,-20.29,-7.04,-51.17,31433
-1.48,9.81,2.09,0.39,-1.22,-0.01,-21.35,-7.47,-50.83,31467
0.25,10.47,0.75,0.31,-0.50,-0.41,-22.45,-8.51,-50.91,31501
2.60,9.60,1.27,0.11,-0.31,-0.15,-23.22,-8.48,-51.15,31536
-0.04,12.08,-1.65,-0.42,0.17,0.39,-23.06,-8.08,-51.48,31570
-1.47,9.85,-1.92,-0.27,0.22,-0.21,-22.93,-7.54,-52.15,31604
0.54,9.17,-2.68,-0.23,0.49,-0.60,-22.41,-7.63,-52.10,31638
2.68,9.02,-3.25,-0.23,1.74,-0.96,-21.63,-8.26,-54.31,31672
1.19,8.12,-2.01,-0.25,2.04,-1.23,-19.23,-8.89,-55.76,31707
7.44,9.98,3.29,-0.51,2.93,-1.39,-15.55,-8.37,-57.25,31741
-0.59,11.36,-1.75,-0.29,3.72,-1.28,-10.04,-8.61,-59.47,31775
3.07,9.39,-2.74,-0.41,2.67,-0.71,-6.64,-7.47,-60.41,31809
-1.99,9.60,-5.80,-0.30,2.09,-0.58,-3.23,-6.27,-60.86,31843
-1.98,7.88,-4.91,-0.19,0.43,-0.39,-1.94,-5.19,-60.41,31877
-0.52,9.99,-1.14,-0.16,0.36,-0.17,-1.48,-4.41,-60.46,31912
-1.39,8.96,-3.82,-0.23,0.85,-0.46,-0.39,-3.52,-59.91,31946
-1.40,6.99,-1.09,-0.58,1.32,-0.59,1.08,-2.51,-59.00,31980
-1.40,10.01,-5.51,-0.65,1.07,-0.02,3.08,-1.71,-58.59,32014
-4.36,10.36,-0.93,-0.20,-0.29,-0.10,3.64,-0.85,-58.81,32048
-2.05,11.30,-0.45,-0.52,-0.78,0.23,2.73,0.91,-57.95,32083
1.16,14.21,0.05,-0.96,-1.50,0.62,0.95,3.05,-58.07,32117
5.01,12.46,-0.79,-1.36,-1.27,0.59,-0.63,4.66,-57.32,32151
11.17,15.46,-0.78,-1.42,-1.81,1.27,-2.85,7.09,-56.18,32185
5.75,12.73,-2.61,-1.30,-0.56,0.85,-2.62,9.31,-54.98,32219
-10.00,14.24,-11.75,-1.66,0.00,-0.41,-2.75,10.83,-53.22,32253
-2.46,12.24,-6.68,-0.13,0.66,-1.26,-2.63,10.82,-53.04,32288
2.00,8.08,-1.62,-0.13,2.02,-0.70,-0.80,10.71,-52.65,32322
-1.40,6.85,-4.21,-0.29,2.24,0.18,2.43,10.67,-52.08,32356
-3.38,6.47,-6.38,-0.15,2.60,0.56,5.45,10.30,-51.32,32390
-2.39,6.20,-4.63,-0.17,3.00,0.95,9.56,9.95,-50.34,32424
-2.97,7.74,-4.04,-0.23,3.24,1.27,14.15,9.28,-47.63,32458
-1.93,9.11,-4.25,-0.13,3.23,1.62,18.09,8.30,-44.75,32493
-3.90,10.41,-4.63,0.34,3.27,1.60,21.50,6.34,-42.18,32527
-3.96,10.74,-4.70,0.53,2.66,1.68,23.91,5.96,-39.33,32561
-3.89,11.20,-4.70,0.81,1.83,1.60,25.58,4.71,-38.47,32595
-4.01,11.85,-4.75,1.03,1.34,1.28,27.45,3.92,-36.96,32629
-3.52,11.56,-3.71,1.00,1.01,0.95,28.98,3.33,-36.74,32664
-3.18,10.90,-2.35,1.06,1.04,0.49,30.34,2.73,-35.85,32698
-2.58,10.35,-2.36,1.15,1.15,0.28,32.27,2.63,-34.33,32732
-2.49,9.83,-2.76,1.18,1.27,0.24,34.24,2.44,-33.38,32766
-2.25,9.66,-2.14,1.05,1.23,0.37,36.23,1.15,-32.11,32800
-1.92,9.42,-2.04,0.97,1.27,0.49,37.85,0.07,-31.41,32834
-1.74,9.50,-1.78,0.93,1.27,0.65,39.18,-1.61,-29.20,32869
-0.47,9.63,-0.74,0.65,1.33,0.61,40.72,-3.64,-27.76,32903
-0.58,10.35,-1.86,0.94,1.85,0.42,41.96,-5.09,-24.51,32937
-1.15,10.70,-2.03,0.86,1.06,0.27,42.82,-6.04,-22.39,32971
-0.19,10.74,-1.54,0.73,0.25,0.05,43.34,-6.72,-21.84,33005
0.09,10.16,-0.45,0.74,-0.15,-0.10,43.60,-7.10,-21.63,33040
-0.12,9.27,-0.63,0.82,-0.45,-0.16,43.58,-7.47,-21.82,33074
-0.53,9.32,-0.68,0.82,-0.83,-0.13,43.88,-7.59,-23.30,33108
1.43,9.33,-1.00,0.61,-1.55,0.05,43.74,-8.24,-24.60,33142
0.57,9.56,-0.63,0.57,-1.70,-0.04,43.03,-8.58,-27.90,33176
1.01,9.70,-0.49,0.47,-1.76,-0.15,42.31,-8.61,-29.96,33210
1.82,16.52,9.57,0.81,-1.78,-0.43,41.73,-8.45,-32.59,33245
3.30,11.21,0.56,0.28,-1.32,-0.51,41.20,-8.21,-34.64,33279
-0.68,10.15,-0.01,0.15,0.57,-0.71,41.48,-7.85,-33.41,33313
-0.94,10.21,-2.07,-0.04,-0.14,-0.17,41.87,-7.69,-33.70,33347
0.33,10.12,-1.08,-0.18,-0.56,0.06,42.18,-7.31,-33.88,33381
-1.27,10.80,-2.99,-0.34,-0.29,0.10,41.55,-7.45,-33.62,33416
-0.58,9.57,-3.58,-0.16,-0.67,-0.01,41.65,-7.44,-33.95,33450
-0.70,9.43,-3.76,-0.22,-0.63,-0.15,41.01,-7.15,-34.86,33484
0.78,9.61,-3.41,-0.34,-0.71,0.01,40.63,-7.48,-36.03,33518
0.49,9.50,-2.40,-0.43,-0.82,0.25,40.09,-7.42,-36.90,33552
0.76,9.63,-2.39,-0.55,-0.76,0.44,39.96,-7.99,-37.68,33586
0.76,9.37,-1.67,-0.54,-0.54,0.44,39.23,-8.26,-38.60,33621
0.57,9.14,-1.67,-0.45,-0.40,0.23,39.35,-8.77,-39.13,33655
-0.49,9.11,-2.53,-0.38,-0.37,-0.13,39.33,-9.11,-39.01,33689
2.32,8.69,-2.64,-0.37,-0.40,-0.55,38.89,-8.30,-39.02,33723
0.95,9.44,-2.51,-0.26,-0.18,-0.80,38.92,-7.44,-39.81,33757
0.70,9.79,-1.37,-0.30,-0.22,-0.76,38.59,-5.80,-39.75,33791
-0.63,10.18,-0.22,-0.34,-0.28,-0.69,39.16,-4.95,-40.32,33826
-0.46,10.06,-0.38,-0.61,-0.60,-0.53,38.25,-3.96,-41.83,33860
1.16,11.27,0.36,-0.86,-0.81,-0.15,37.46,-3.30,-41.60,33894
4.68,11.26,0.06,-1.10,-1.00,0.24,36.61,-2.92,-42.44,33928
