ax,ay,az,gx,gy,gz,mx,my,mz,timestamp
0.76,-10.61,-0.89,-0.38,-0.28,-0.07,-31.86,-16.05,-48.68,19896
1.81,-10.04,-1.76,0.21,-0.38,-0.10,-31.66,-16.08,-47.60,19930
1.14,-9.24,-0.99,0.37,-0.30,-0.03,-31.77,-16.57,-47.95,19964
-0.39,-9.90,-0.76,0.06,-0.46,0.03,-31.51,-16.72,-47.09,19999
0.86,-10.00,-1.80,0.03,-0.45,-0.00,-31.42,-17.11,-47.12,20033
-0.85,-10.00,-0.61,0.16,-0.63,0.05,-30.77,-17.99,-46.27,20067
0.82,-10.16,-1.23,-0.17,-0.38,0.08,-30.69,-17.79,-45.15,20101
0.64,-10.01,-1.09,0.18,-0.09,0.33,-30.27,-18.44,-45.60,20135
1.22,-9.34,-1.08,0.13,0.01,0.33,-29.47,-18.18,-45.32,20169
1.65,-9.54,-1.85,0.23,-0.02,0.03,-29.28,-18.33,-45.02,20204
1.79,-9.40,-1.65,0.26,-0.07,-0.23,-29.10,-18.81,-45.48,20238
2.52,-8.63,-2.32,-0.02,0.16,-0.41,-29.19,-20.04,-45.35,20272
1.57,-9.79,-1.19,-0.17,0.17,-0.61,-28.79,-20.90,-45.13,20306
1.87,-9.70,-1.31,-0.19,0.17,-0.67,-27.83,-21.88,-46.36,20340
0.91,-10.44,-0.57,-0.14,0.26,-0.67,-27.14,-22.17,-45.69,20375
0.42,-10.07,-0.39,0.02,0.21,-0.53,-27.38,-22.74,-46.65,20409
1.09,-10.26,0.02,0.05,0.13,-0.48,-27.33,-23.66,-46.67,20443
0.13,-10.39,-0.15,0.22,0.16,-0.35,-26.38,-24.22,-47.44,20477
2.36,-10.26,-1.07,0.31,0.34,-0.18,-26.44,-25.15,-47.00,20511
0.64,-10.69,-1.30,0.37,0.90,-0.05,-26.03,-25.68,-47.19,20545
-2.10,-12.22,-2.17,0.58,0.62,-0.48,-25.42,-26.92,-47.63,20580
-2.32,-11.65,-3.80,0.48,1.25,-0.64,-24.42,-28.34,-48.58,20614
-0.73,-15.18,-5.13,0.30,0.62,-1.36,-23.34,-29.73,-49.88,20648
3.36,-9.51,-4.91,0.46,0.86,-1.88,-21.95,-32.58,-49.23,20682
7.08,-6.89,-14.77,-0.18,0.28,-2.83,-20.32,-35.02,-49.08,20716
0.91,-8.74,-2.56,-0.09,-1.28,-2.88,-18.97,-37.85,-48.87,20750
-1.42,-7.27,-4.20,-0.29,-2.19,-2.22,-19.03,-38.85,-48.04,20785
3.47,-5.36,-3.52,-0.67,-2.12,-1.38,-19.39,-39.70,-46.64,20819
3.62,-4.48,-1.67,-0.68,-1.25,-0.04,-20.30,-39.80,-45.53,20853
1.81,-4.93,-0.76,-0.48,-1.02,0.74,-22.36,-39.04,-45.35,20887
3.06,-5.46,-0.67,-0.15,-1.89,1.20,-24.12,-37.68,-44.61,20921
1.91,-7.43,-0.18,0.04,-2.25,1.74,-27.13,-36.52,-41.77,20956
2.15,-8.72,-1.43,0.03,-2.33,1.98,-29.25,-33.66,-38.89,20990
3.13,-9.23,-2.50,-0.14,-2.11,2.23,-31.91,-30.72,-34.99,21024
3.88,-9.26,-2.31,-0.41,-1.79,2.52,-33.24,-27.89,-34.27,21058
5.61,-10.73,-2.68,-0.70,-0.45,2.92,-33.86,-24.83,-33.78,21092
5.23,-11.24,-2.99,-0.76,2.01,2.74,-34.03,-21.09,-35.71,21126
28.58,-17.93,28.04,-1.31,3.46,1.47,-33.02,-19.12,-40.06,21161
-13.55,-17.23,2.11,-0.86,2.69,-0.52,-30.87,-19.34,-44.26,21195
4.38,-7.51,2.26,0.49,-0.28,-1.43,-30.75,-21.89,-43.92,21229
-0.36,-11.66,-6.45,0.43,-0.72,-0.51,-30.91,-22.98,-43.50,21263
6.32,-6.83,-5.46,0.50,-0.16,-0.11,-31.19,-23.98,-43.58,21297
5.67,-6.51,-8.18,0.37,0.01,-0.54,-31.42,-24.77,-43.88,21332
3.78,-8.38,-5.00,0.29,0.30,-0.40,-31.15,-25.59,-43.91,21366
2.61,-8.37,-1.56,0.40,0.40,-0.34,-31.22,-26.22,-44.68,21400
2.91,-9.83,-1.41,0.32,0.54,-0.13,-30.75,-26.67,-44.80,21434
1.25,-9.54,-1.88,0.44,0.85,-0.07,-30.39,-26.73,-46.27,21468
0.31,-8.87,-4.04,0.50,1.00,-0.16,-30.08,-27.42,-46.89,21502
-1.17,-10.63,-2.50,0.55,1.05,-0.04,-29.45,-28.05,-48.00,21537
-1.33,-11.41,0.39,0.68,1.09,0.00,-28.94,-28.47,-49.63,21571
-2.55,-10.02,0.37,0.97,1.03,0.25,-28.21,-28.85,-50.10,21605
0.13,-9.68,0.46,1.08,1.19,0.46,-28.19,-29.22,-50.61,21639
-3.50,-13.35,-1.09,1.27,1.83,0.82,-28.11,-29.33,-52.12,21673
-4.18,-11.87,-3.94,1.45,2.35,1.17,-26.59,-29.63,-53.48,21708
2.63,-9.77,-3.54,1.33,2.31,1.46,-25.33,-29.52,-55.58,21742
10.98,-5.61,-6.41,0.71,2.76,1.09,-24.39,-28.78,-57.72,21776
-3.04,-5.50,-10.18,-0.32,1.61,0.64,-22.33,-27.61,-59.75,21810
10.32,-8.04,4.15,-1.01,0.85,0.70,-23.28,-25.55,-61.02,21844
9.31,-5.44,-2.55,-1.14,5.91,2.08,-19.01,-23.05,-64.38,21878
4.90,-7.88,-3.36,-1.67,7.37,2.72,-9.03,-19.10,-68.52,21913
2.82,-10.67,-6.15,-1.91,7.46,2.47,1.36,-15.76,-68.69,21947
-4.32,-10.84,-2.75,-1.86,9.19,2.13,15.65,-13.62,-65.29,21981
-8.19,-15.42,-0.35,-1.14,4.87,0.45,23.91,-12.07,-60.82,22015
-3.77,-13.67,0.12,0.21,1.72,-0.48,26.70,-11.82,-58.62,22049
2.43,-8.84,-0.64,0.69,-0.04,-0.90,26.82,-11.53,-58.32,22083
8.94,-5.68,-5.42,0.75,-0.53,-0.59,26.07,-11.93,-59.05,22118
9.84,-5.13,-6.73,0.38,0.28,-0.42,25.68,-11.97,-58.14,22152
9.60,-5.53,-8.79,-0.22,0.75,-0.67,25.64,-11.43,-57.13,22186
7.57,-5.11,-7.16,-0.36,1.24,-0.85,26.57,-11.02,-55.74,22220
3.54,-6.13,-6.17,-0.44,1.17,-1.02,26.89,-9.73,-53.89,22254
0.55,-5.76,-2.78,-0.62,0.65,-1.25,27.36,-9.08,-53.10,22289
-7.34,-17.52,-2.72,-0.62,0.54,-1.13,27.32,-8.11,-52.50,22323
-2.03,-12.20,0.51,-0.62,0.37,-1.51,26.83,-7.80,-53.01,22357
-3.32,-12.39,-0.89,0.00,-0.14,-1.02,26.78,-7.53,-52.72,22391
-1.22,-11.18,-1.25,0.49,-0.60,-0.62,25.96,-7.78,-53.35,22425
1.78,-9.53,-3.78,0.69,-0.47,-0.53,25.81,-8.39,-55.10,22459
2.57,-8.88,-6.11,0.73,-0.09,-0.78,25.61,-9.19,-55.04,22494
2.56,-5.60,-4.26,0.58,0.52,-0.88,26.24,-8.73,-56.55,22528
5.16,-9.27,-4.32,0.36,0.88,-0.54,27.04,-8.49,-56.30,22562
6.76,-8.41,-3.09,0.02,1.85,-0.17,29.30,-8.94,-56.11,22596
4.34,-7.87,-5.99,-0.15,2.61,-0.18,31.53,-7.95,-54.76,22630
1.52,-13.38,-9.17,0.06,2.70,-0.10,34.89,-7.35,-51.67,22665
-0.72,-13.89,-7.98,-0.28,3.35,0.32,37.39,-6.56,-49.59,22699
-5.50,-13.81,-9.36,-0.52,4.27,0.59,39.94,-6.49,-43.99,22733
-5.77,-14.43,-8.73,-1.07,5.03,1.08,42.97,-6.07,-35.25,22767
-4.63,-14.66,-10.07,-2.10,5.10,0.96,44.46,-6.49,-27.23,22801
2.25,-11.82,-8.76,-2.86,5.36,0.93,44.45,-7.06,-17.07,22835
-1.65,-3.87,-8.73,-3.72,6.24,1.34,42.63,-10.22,-7.60,22870
-2.18,-5.47,-7.91,-3.95,4.59,1.13,39.37,-13.12,-1.04,22904
-11.78,-13.92,-0.42,-3.28,3.52,1.66,35.18,-18.66,4.40,22938
-1.12,-15.36,1.83,-1.87,0.78,1.32,33.63,-21.24,4.74,22972
4.06,-7.77,-0.21,-1.29,-0.29,0.83,32.72,-23.18,4.34,23006
