ax,ay,az,gx,gy,gz,mx,my,mz,timestamp
-2.92,8.89,-2.21,0.17,-0.31,0.03,-14.02,-15.10,-46.08,13254
-4.29,10.53,-1.64,0.82,-2.60,0.82,-19.35,-16.34,-41.90,13388
4.21,9.43,-3.12,1.23,-4.24,0.51,-33.28,-16.90,-23.27,13522
0.41,8.09,-5.34,1.88,-2.82,1.30,-33.76,-14.73,-9.66,13656
-0.98,10.21,3.35,-0.08,-1.10,0.46,-28.97,-9.63,4.05,13790
-3.37,8.43,-6.36,-0.05,-0.18,-0.14,-30.68,-13.55,5.22,13923
-5.24,3.88,-7.45,-0.46,0.36,0.36,-34.74,-13.07,6.66,14057
-3.38,8.30,-4.23,-0.54,-0.70,-0.12,-35.33,-12.38,9.25,14191
1.23,12.94,-12.49,3.65,-2.36,2.57,-32.01,-4.81,18.01,14325
5.60,6.90,-1.56,1.68,-2.57,0.96,-3.32,16.63,22.68,14458
3.83,11.19,-0.71,-0.95,-7.53,5.12,3.16,22.65,5.58,14592
-8.32,2.76,-7.89,0.31,-1.58,-0.15,5.64,12.01,5.99,14726
-6.91,0.87,-4.78,0.35,-1.73,0.36,19.99,2.02,11.15,14860
5.75,9.80,-12.39,-0.05,-0.39,0.29,31.63,7.64,14.86,14994
11.12,2.00,-18.77,2.26,-5.11,6.87,39.17,-1.15,1.94,15127
-5.85,11.50,-0.75,3.96,-1.73,-0.83,28.44,-20.30,-25.56,15261
-13.65,13.50,-5.95,0.08,1.11,-4.78,21.82,-4.18,-6.99,15395
-1.40,12.85,-4.18,-3.66,1.59,-6.04,21.56,3.43,11.12,15529
-8.18,4.14,-2.91,-1.49,-0.89,-0.94,24.57,4.65,27.58,15663
-0.48,-3.35,-19.75,1.83,-2.46,3.50,51.48,15.08,14.40,15796
-3.20,-5.95,-7.86,2.79,-3.24,3.95,59.41,-3.64,-29.22,15930
-5.44,4.71,-10.23,2.59,-0.12,0.74,47.75,-10.29,-50.25,16064
-3.76,17.67,-4.95,0.34,2.43,-4.31,30.52,-0.91,-46.55,16198
-3.73,7.87,-6.09,-3.91,0.61,-7.36,-1.02,9.73,-15.84,16332
0.80,4.75,-16.73,-0.20,0.19,1.58,-1.45,5.90,14.94,16465
-9.83,0.82,-9.29,-0.47,-0.77,2.09,19.77,13.53,30.40,16599
-6.01,-9.29,-16.81,1.97,-3.64,3.15,50.79,27.32,1.55,16733
-0.14,-0.73,-11.95,1.93,-1.40,2.09,37.40,16.31,-53.14,16867
-2.92,10.92,-3.93,0.12,1.18,-3.16,10.22,11.06,-45.19,17000
-8.40,10.73,-8.37,-2.58,1.74,-6.22,-6.58,8.80,-13.65,17134
-4.67,-3.67,-7.62,-2.23,-0.39,-1.77,3.05,5.93,12.12,17268
0.99,-2.95,-11.65,0.68,-1.53,3.45,17.86,16.22,9.53,17402
0.89,-6.42,-15.97,3.50,-2.79,5.36,29.89,3.83,-6.75,17536
-9.57,11.56,-10.50,3.80,0.57,0.09,31.12,-11.20,-11.93,17669
-5.19,18.09,-8.19,0.27,1.93,-4.30,35.71,-2.40,-9.03,17803
-6.24,-1.18,9.29,-7.59,-0.24,-7.35,13.99,24.20,8.01,17937
-5.55,3.02,-17.41,-0.37,-0.39,1.10,7.94,27.92,17.66,18071
-3.62,-8.55,-18.37,2.54,-2.33,5.18,37.93,25.65,3.76,18205
4.57,1.13,-11.75,3.16,-2.48,3.64,44.17,-12.80,-32.04,18338
-0.61,5.30,-15.00,1.80,1.54,0.07,36.66,-20.27,-30.75,18472
-10.08,12.50,-6.42,0.15,2.05,-3.48,33.88,-14.48,-17.03,18606
-1.39,6.49,6.11,-6.14,-1.37,-6.55,39.39,19.19,-1.67,18740
-0.67,-1.76,-15.59,-0.36,-1.52,1.24,35.66,37.36,-11.27,18874
-9.74,-6.01,-8.36,0.47,-0.98,2.84,48.33,26.06,-27.65,19007
6.28,3.65,-11.67,3.66,-1.85,4.43,47.63,-6.33,-58.73,19141
-1.34,9.53,-8.10,0.66,1.27,-2.30,34.08,-16.72,-65.76,19275
-1.46,6.36,-1.79,-2.58,1.32,-4.65,24.64,11.77,-55.80,19409
-5.23,9.95,-4.78,-1.06,-0.95,-0.71,9.87,17.64,-41.04,19542
-3.98,-7.39,-11.60,0.11,-1.38,1.19,14.79,14.05,-29.70,19676
1.60,-0.90,-9.94,2.62,-1.73,3.68,28.18,0.88,-43.26,19810
-1.49,-4.06,-9.49,1.52,0.25,1.82,24.98,-11.77,-49.06,19944
-5.74,11.28,-3.81,0.43,0.64,-1.83,21.38,-16.76,-46.17,20078
-2.02,13.14,-9.51,-2.48,0.88,-6.73,20.84,0.88,-36.03,20211
-11.92,-1.05,-19.32,-0.39,-0.09,-1.42,17.73,13.10,-26.85,20345
-2.41,-2.60,-12.14,1.15,-1.72,3.47,24.52,8.55,-28.33,20479
-5.00,0.97,-7.92,0.99,-0.55,2.29,35.43,-7.16,-34.43,20613
6.49,0.40,-12.30,2.05,-0.76,3.69,34.08,-22.27,-47.78,20747
-14.73,-0.16,-4.26,0.57,-0.83,1.71,25.67,-30.23,-50.76,20880
0.84,11.41,-11.25,-0.52,1.91,-4.12,23.76,-25.21,-42.18,21014
-11.64,7.38,-13.17,-0.58,1.23,-3.29,29.04,11.58,-28.69,21148
-6.08,0.92,-9.10,-0.06,-1.12,1.26,25.88,13.69,-29.14,21282
1.31,-7.09,-17.05,2.20,-1.79,3.78,29.77,7.19,-39.16,21416
-3.75,7.08,-7.29,1.22,-0.98,1.34,23.14,-5.63,-61.93,21549
-7.69,7.75,-5.29,0.71,0.49,-0.22,7.00,-5.06,-67.68,21683
-11.65,9.15,-6.22,-0.95,1.90,-6.31,-3.10,-1.21,-48.11,21817
-4.28,5.99,-6.15,-1.52,0.02,-2.19,0.50,0.83,-29.33,21951
-4.70,-1.70,-9.48,0.03,-1.48,1.01,11.28,-6.09,-19.16,22084
-2.80,-4.31,-13.49,1.60,-1.99,3.04,30.81,-15.51,-19.88,22218
1.70,12.26,-15.66,3.89,-1.09,4.02,28.44,-27.76,-34.62,22352
