ax,ay,az,gx,gy,gz,mx,my,mz,timestamp
1.66,-10.01,-0.06,-0.43,-0.20,-0.29,-25.30,-28.62,-54.68,23816
0.05,-10.14,0.84,0.09,0.12,0.05,-25.45,-28.34,-55.90,23850
-1.09,-10.17,1.34,0.14,0.13,-0.12,-25.71,-27.55,-56.07,23884
0.80,-10.09,-0.32,0.19,-0.16,-0.18,-25.49,-27.67,-55.31,23918
2.44,-9.17,1.38,0.25,-0.34,-0.22,-25.94,-27.80,-55.07,23953
0.33,-9.87,1.74,-0.07,-0.13,-0.10,-25.61,-28.11,-55.83,23987
2.06,-9.92,0.85,0.09,0.01,-0.11,-25.64,-28.19,-56.52,24021
3.31,-9.83,0.82,0.26,0.11,-0.10,-25.18,-28.47,-56.11,24055
0.96,-9.77,1.18,0.62,0.48,0.05,-24.86,-28.87,-56.55,24089
1.08,-10.47,1.57,0.67,0.27,-0.18,-24.07,-29.39,-56.69,24124
1.04,-6.54,1.67,0.66,0.23,-0.31,-23.69,-30.59,-57.06,24158
1.46,-9.96,1.03,0.30,0.33,-0.38,-23.09,-30.71,-57.10,24192
2.47,-8.88,-0.95,0.33,0.06,-0.76,-23.17,-31.15,-57.54,24226
2.71,-8.91,-0.65,0.17,0.14,-1.01,-22.20,-31.96,-57.80,24260
4.16,-9.28,0.97,0.08,-0.03,-1.30,-21.21,-32.39,-57.12,24294
4.60,-8.74,1.99,-0.03,0.07,-1.70,-19.69,-33.70,-57.41,24329
5.35,-10.42,2.23,-0.19,0.73,-1.61,-17.98,-34.33,-58.97,24363
3.15,-9.57,4.07,0.07,1.08,-1.04,-16.05,-34.80,-58.75,24397
1.64,-10.29,3.41,0.23,1.60,-0.59,-14.28,-35.15,-59.98,24431
-0.62,-10.57,2.98,0.65,1.39,-0.26,-11.65,-35.93,-59.30,24465
-4.98,-14.03,-1.35,0.85,1.61,-0.12,-8.87,-36.48,-59.09,24500
-4.22,-13.97,-0.81,0.52,2.64,0.27,-6.72,-36.74,-59.82,24534
-1.25,-11.80,-0.76,-0.50,6.26,0.80,-1.46,-35.98,-61.27,24568
15.85,-4.96,-11.46,-0.98,8.39,0.20,7.95,-35.38,-59.76,24602
1.93,-9.38,-7.28,-2.41,4.73,-0.58,17.54,-31.67,-58.33,24636
5.42,-9.02,5.74,-2.17,5.65,0.09,23.00,-29.39,-55.90,24670
0.63,-10.70,6.47,-2.07,5.71,-0.11,28.18,-27.27,-50.35,24705
6.54,-11.88,13.48,-1.03,3.74,-0.85,32.59,-25.39,-46.73,24739
-6.89,-10.04,6.73,0.18,1.50,-1.34,34.73,-23.76,-43.99,24773
1.87,-8.35,4.20,0.97,-0.36,-1.03,35.11,-23.12,-44.30,24807
0.99,-6.89,-2.14,0.99,-0.47,-0.82,34.67,-22.92,-43.32,24841
4.31,-7.50,-2.34,0.65,-0.49,-0.70,34.43,-23.06,-44.45,24875
6.16,-9.13,-3.18,0.03,1.11,-0.75,35.11,-22.46,-43.80,24910
2.99,-13.64,0.57,-0.11,1.41,-1.03,35.88,-21.92,-41.61,24944
6.02,-8.64,-2.10,-0.54,1.34,-1.38,37.20,-20.17,-39.29,24978
6.13,-9.34,-4.06,-1.17,2.24,-1.29,38.31,-18.99,-37.40,25012
6.40,-2.67,-7.17,-1.40,1.74,-1.39,39.27,-17.04,-35.94,25046
6.88,-11.82,-3.68,-2.02,2.12,-1.05,40.41,-15.24,-33.25,25081
4.72,-8.65,-2.06,-1.90,1.48,-1.20,41.36,-13.43,-31.28,25115
4.06,-10.20,-4.94,-2.07,1.40,-1.47,42.50,-10.86,-28.98,25149
1.78,-7.31,-4.62,-2.26,1.24,-1.39,43.32,-8.21,-27.49,25183
0.17,-6.57,-4.47,-2.34,1.45,-0.66,43.74,-6.78,-25.02,25217
-1.79,-16.82,-1.89,-2.30,1.06,0.22,44.20,-5.71,-22.04,25251
3.54,-12.14,-1.62,-1.69,-0.22,-0.53,44.05,-5.10,-21.47,25286
-5.07,-10.05,1.00,-0.88,-0.31,-0.22,43.47,-3.98,-20.93,25320
-1.10,-15.33,-1.30,0.14,-1.81,0.38,43.44,-4.17,-23.68,25354
8.30,-8.52,-1.37,0.41,-2.44,-0.16,42.84,-4.55,-26.85,25388
6.66,-7.67,0.47,-0.08,-1.18,-0.37,42.78,-3.38,-28.97,25422
4.45,-10.87,1.57,-0.04,-1.07,-0.47,42.33,-2.66,-30.11,25457
-0.30,-11.08,2.95,0.45,-1.76,-0.78,41.87,-1.65,-32.93,25491
1.64,-15.89,4.02,1.39,-3.26,-1.08,40.38,0.34,-37.42,25525
10.20,-26.46,15.51,1.50,-3.74,-1.40,38.60,1.26,-41.30,25559
-0.39,-14.69,2.55,1.89,-3.47,-2.18,33.89,3.17,-47.08,25593
2.95,-4.06,3.59,2.44,-4.40,-2.60,29.55,3.98,-52.79,25627
5.39,-8.22,-4.29,2.32,-3.79,-1.95,24.33,4.09,-57.38,25662
5.20,-7.99,-6.07,1.10,-1.73,-1.57,20.13,3.98,-59.63,25696
2.01,-9.86,-3.41,0.97,-0.95,-1.08,18.72,3.81,-59.92,25730
3.32,-9.84,-0.60,0.84,-0.78,-1.18,16.52,3.48,-60.74,25764
4.69,-10.72,-2.00,1.02,-0.46,-0.54,15.43,2.63,-61.43,25798
4.98,-8.90,-1.82,0.98,0.08,-0.27,14.98,1.61,-61.63,25833
6.30,-8.21,-3.35,0.98,0.41,-0.12,14.83,0.67,-61.79,25867
2.56,-8.14,-6.12,1.08,0.53,-0.36,15.93,-0.69,-61.98,25901
3.44,-11.26,-4.59,0.93,0.65,-0.63,14.89,-1.61,-61.98,25935
8.04,-6.59,-4.38,0.68,0.93,-0.67,15.57,-2.13,-61.43,25969
9.05,-4.02,-4.55,0.48,1.26,-0.66,16.16,-2.62,-60.19,26003
11.12,-4.29,-7.13,0.23,1.95,-0.47,18.27,-3.11,-58.70,26038
14.54,-9.59,-17.01,-0.37,3.77,-0.35,21.10,-3.23,-55.09,26072
1.59,-18.72,-31.55,-0.97,5.84,-0.53,26.48,-2.51,-48.98,26106
-13.31,-14.92,-32.57,-3.37,7.52,-0.44,31.16,-1.40,-41.01,26140
-3.08,-16.46,-23.59,-5.58,8.36,-0.52,33.86,-0.82,-29.19,26174
-1.65,-13.82,-17.55,-6.60,7.97,-0.91,33.32,-1.81,-15.27,26208
-12.68,-18.52,-14.10,-6.26,7.54,-0.24,30.53,-5.20,-4.79,26243
-13.33,-20.56,-4.84,-4.54,4.23,-0.32,26.40,-9.00,1.58,26277
-5.14,-14.57,2.73,-2.96,-0.13,-0.60,25.55,-12.06,3.54,26311
-4.88,-11.95,11.20,-2.21,-0.63,-0.14,25.99,-14.53,3.11,26345
-3.56,-12.72,10.73,-1.34,-1.09,0.06,27.29,-17.14,1.91,26379
4.28,-13.40,3.62,-0.31,-1.89,-0.64,29.04,-17.55,0.91,26414
5.44,-11.65,1.19,0.22,-2.92,-0.85,31.56,-16.91,-2.46,26448
3.51,-11.56,-0.21,0.48,-3.51,-0.94,34.71,-16.03,-6.23,26482
6.59,-12.40,-0.39,0.94,-3.80,-1.29,36.66,-14.81,-10.00,26516
4.68,-9.95,1.70,1.35,-4.32,-1.79,39.46,-11.41,-16.19,26550
5.29,-10.51,2.01,2.19,-5.17,-1.71,40.62,-8.89,-22.43,26584
6.85,-13.77,0.37,2.54,-5.71,-2.46,40.05,-6.43,-30.77,26619
6.63,-10.88,0.79,2.43,-4.92,-3.13,37.55,-3.19,-39.51,26653
1.54,-8.49,-0.35,2.35,-3.39,-2.14,34.93,-1.15,-44.04,26687
3.93,-11.08,-7.00,2.30,-3.02,-1.63,31.39,-0.34,-49.47,26721
2.61,-10.58,-4.47,1.61,-1.84,-1.56,29.25,-0.10,-52.47,26755
1.89,-8.56,-0.69,1.51,-1.43,-1.49,27.14,0.25,-54.52,26790
1.43,-5.11,-3.78,1.71,-1.13,-0.68,25.10,-0.06,-57.18,26824
7.62,-11.48,-8.45,1.11,-0.46,-0.50,24.42,-1.45,-57.07,26858
5.70,-5.57,-1.38,0.90,0.01,-1.29,23.74,-0.95,-58.56,26892
7.84,-7.03,-4.03,1.21,-0.17,-1.01,23.06,-1.14,-58.32,26926
10.43,-6.83,-5.25,0.80,0.75,-0.83,22.93,-1.52,-58.90,26960
7.64,-3.83,-7.30,0.43,1.63,-0.68,24.71,-0.76,-57.70,26995
9.84,-6.60,-9.80,0.13,2.24,-0.36,26.40,-0.13,-55.63,27029
7.11,-4.30,-13.33,-0.55,3.50,-0.42,28.87,0.91,-51.36,27063
