ax,ay,az,gx,gy,gz,mx,my,mz,timestamp
-1.02,9.61,-1.68,0.21,-0.06,-0.04,20.96,-1.51,-50.20,121007
-1.41,9.48,-1.46,0.23,0.02,-0.02,21.16,-1.55,-51.13,121041
-1.23,9.49,-1.50,0.14,-0.09,-0.05,21.91,-1.97,-50.72,121076
-1.39,9.89,-1.39,-0.05,-0.21,-0.11,21.44,-1.86,-50.57,121110
-1.24,11.58,-0.76,-0.36,-0.48,-0.07,21.13,-1.94,-51.40,121144
-2.58,10.62,-1.91,0.21,-0.09,-0.07,20.90,-1.78,-50.23,121178
-1.12,9.87,-1.86,0.13,-0.15,-0.10,21.13,-1.58,-51.13,121212
-0.48,9.60,-2.04,0.08,-0.17,-0.14,21.12,-1.80,-50.72,121247
-0.43,9.73,-1.43,0.07,-0.09,-0.15,20.99,-1.52,-51.29,121281
-0.59,9.70,-0.92,0.07,-0.02,-0.11,20.91,-1.30,-50.69,121315
-1.21,9.66,-0.87,0.08,-0.04,-0.05,21.08,-1.70,-50.29,121349
-1.85,9.58,-1.05,0.13,-0.08,-0.05,21.37,-2.18,-50.98,121383
-1.71,9.29,-1.20,0.16,-0.11,-0.10,21.41,-2.03,-51.10,121417
-1.51,9.52,-1.30,0.20,-0.15,-0.13,21.79,-2.40,-51.29,121452
-1.07,9.60,-1.38,0.23,-0.15,-0.13,21.15,-2.37,-51.18,121486
-1.31,9.48,-1.74,0.20,-0.21,-0.09,20.97,-2.16,-51.29,121520
-1.02,9.49,-1.73,0.17,-0.36,-0.04,20.91,-2.16,-51.80,121554
-0.59,9.62,-2.10,0.16,-0.34,0.03,20.80,-2.32,-51.93,121588
-0.17,9.74,-2.01,0.11,-0.24,-0.00,20.75,-2.50,-51.40,121623
-1.26,9.57,-2.01,0.12,-0.12,-0.04,20.74,-2.41,-51.78,121657
-1.11,9.63,-1.76,0.13,-0.19,0.04,20.10,-2.75,-51.90,121691
-1.87,9.78,-1.03,0.16,-0.17,0.00,20.45,-3.26,-51.53,121725
-3.18,10.09,-0.91,0.17,-0.24,-0.15,20.13,-3.33,-52.02,121759
-4.28,10.12,-1.51,0.26,-0.22,-0.79,20.21,-3.00,-52.56,121793
-6.91,9.70,-4.79,0.43,-0.72,-1.18,19.47,-2.43,-52.48,121828
-5.77,18.04,2.89,0.92,-1.59,-1.32,16.73,-1.75,-53.80,121862
-2.60,11.75,-5.12,0.82,-1.63,-1.50,14.56,-1.77,-55.89,121896
-2.79,9.15,-1.40,0.33,-1.41,-1.71,12.74,-1.10,-56.40,121930
-3.65,5.83,-1.15,-0.09,-0.97,-1.90,10.41,0.57,-57.42,121964
-3.15,7.24,-2.80,0.23,-0.82,-1.93,8.67,0.91,-57.63,121999
-2.71,6.04,-1.67,0.15,-1.15,-1.52,6.88,0.98,-57.67,122033
-0.78,6.66,-0.66,0.03,-0.92,-1.12,5.14,1.52,-58.64,122067
-1.58,6.40,-1.16,-0.07,-0.23,-0.95,4.08,1.94,-57.99,122101
-2.62,5.80,-1.47,-0.04,0.36,-0.70,4.40,2.31,-57.66,122135
-3.01,2.86,-1.63,-0.02,0.21,-0.29,4.52,2.29,-56.84,122169
