ax,ay,az,gx,gy,gz,mx,my,mz,timestamp
9.65,-0.73,1.51,0.27,-0.16,-0.10,8.65,-45.16,-35.19,83289039
9.62,-0.73,1.52,0.28,-0.14,-0.15,8.17,-45.02,-34.92,83289073
9.73,-0.33,1.75,0.13,-0.15,-0.07,8.42,-45.43,-34.83,83289107
9.74,0.01,1.89,-0.24,-0.17,0.02,8.68,-45.59,-35.24,83289141
9.78,-0.82,1.70,-0.61,-0.17,0.09,8.67,-45.79,-36.42,83289175
10.08,-0.00,1.46,-0.20,-0.43,-0.07,8.73,-45.50,-37.50,83289209
9.74,-0.09,1.62,-0.26,-0.36,-0.10,8.62,-45.06,-37.18,83289244
9.35,0.13,0.60,-0.53,-0.46,-0.24,8.52,-44.97,-38.45,83289278
9.74,1.28,0.13,-1.18,-0.65,-0.46,8.71,-44.08,-39.04,83289312
10.32,0.04,1.26,-1.88,-0.68,-0.58,9.02,-42.96,-42.08,83289346
9.13,-3.18,0.56,-0.24,-0.82,-0.94,9.41,-42.34,-43.34,83289380
8.81,2.43,-0.06,0.55,-0.91,-1.52,10.67,-42.09,-42.27,83289415
9.81,1.20,-1.37,-0.31,-0.76,-1.33,11.28,-41.17,-43.92,83289449
8.88,1.70,-2.36,-0.46,-0.92,-1.69,12.04,-40.32,-44.55,83289483
7.72,3.48,-2.89,-0.26,-0.95,-1.85,13.40,-39.36,-45.60,83289517
9.73,2.40,-0.72,-0.59,-0.99,-1.36,13.68,-38.21,-46.07,83289551
9.52,-0.43,-0.45,0.14,-0.77,-1.11,14.32,-37.47,-47.18,83289585
12.69,-2.59,1.03,0.42,-0.80,-0.31,14.44,-37.61,-46.55,83289620
11.10,-1.84,-0.74,0.16,-0.54,0.13,13.61,-37.69,-46.40,83289654
10.46,-1.08,-2.66,0.24,-0.36,0.18,13.78,-38.09,-46.58,83289688
10.60,-0.78,-2.80,0.39,-0.05,0.33,12.93,-38.72,-46.33,83289722
10.49,-1.03,0.26,0.59,0.10,0.73,12.31,-39.30,-45.92,83289756
10.64,-0.68,1.81,0.62,0.12,0.96,11.33,-40.34,-44.96,83289791
9.92,0.75,2.19,0.21,0.06,1.22,10.25,-40.63,-45.03,83289825
9.01,-1.15,-0.42,-0.41,-0.24,0.66,9.15,-40.85,-45.35,83289859
9.99,-0.28,-1.06,-0.43,-0.56,0.39,8.24,-40.62,-46.02,83289893
10.08,1.20,-1.37,-0.94,-0.94,0.99,6.33,-40.35,-47.24,83289927
6.09,8.41,-4.17,-0.93,-0.80,0.02,4.65,-39.89,-47.94,83289961
13.75,2.26,-1.28,-1.38,-0.00,0.87,4.14,-39.08,-49.74,83289996
14.87,3.19,5.77,-0.09,0.91,-0.10,5.09,-38.56,-50.53,83290030
