ax,ay,az,gx,gy,gz,mx,my,mz,timestamp
-2.90,8.97,-1.93,0.02,0.10,-0.17,31.95,-0.96,-46.99,9007
-2.59,9.72,-2.01,0.06,-0.07,-0.25,31.79,-0.22,-46.93,9041
-1.80,9.81,-1.90,-0.33,-0.34,-0.01,31.85,-0.99,-47.91,9076
-2.46,8.61,-0.64,-0.89,-0.74,0.30,32.30,-1.46,-48.04,9110
-2.19,9.02,-0.66,-0.14,-0.49,0.04,32.17,-1.87,-48.11,9144
-3.57,9.35,-2.17,-0.23,-0.39,-0.24,31.76,-1.51,-48.73,9178
-3.07,9.09,-1.90,-0.26,-0.38,-0.37,31.06,-1.17,-48.77,9212
-2.96,8.51,-2.20,-0.28,-0.28,-0.61,31.06,-0.41,-49.90,9247
-4.79,8.10,-2.47,-0.30,-0.05,-0.89,30.17,0.69,-49.75,9281
-6.33,7.37,-2.09,-0.19,-0.09,-1.39,29.28,2.06,-48.83,9315
-6.54,6.79,-1.92,0.09,0.12,-1.64,28.15,2.94,-50.01,9349
-8.80,7.09,-0.57,0.23,-0.35,-1.53,27.19,4.36,-50.00,9383
-8.46,10.28,-1.26,0.14,-1.18,-1.09,25.97,5.32,-50.37,9417
-6.44,13.85,-4.37,0.37,-2.31,-0.37,23.50,5.73,-52.69,9452
-4.81,19.22,-2.24,-0.24,-1.57,-0.27,21.22,5.82,-53.96,9486
8.22,17.97,-5.14,-0.75,-1.21,0.30,19.75,6.07,-54.34,9520
-3.49,14.61,0.49,-1.07,-1.65,-0.24,18.44,7.23,-53.79,9554
-8.30,3.43,-16.03,-1.18,-0.17,-2.01,16.52,9.19,-53.80,9588
-2.95,11.27,-4.98,-0.47,1.77,-3.65,14.29,10.76,-51.94,9623
1.45,8.41,-1.25,-0.73,1.49,-2.92,13.56,12.88,-51.40,9657
-3.72,5.62,-4.10,-0.06,1.53,-2.06,12.41,13.81,-49.42,9691
-8.16,4.22,-4.17,0.47,0.49,-0.98,12.07,13.83,-49.66,9725
-4.79,5.50,-0.75,0.78,-1.37,0.51,11.56,12.55,-50.35,9759
-0.47,5.94,2.45,0.67,-1.11,1.06,11.60,11.94,-52.00,9793
-4.26,6.48,0.67,0.68,0.81,0.90,12.48,10.99,-51.87,9828
-5.14,7.77,0.06,0.21,2.07,0.86,14.50,10.26,-50.56,9862
-5.68,7.75,-1.15,-0.20,2.83,0.84,17.22,9.88,-49.27,9896
-7.72,6.00,-2.86,-0.46,2.97,0.93,19.63,9.50,-47.16,9930
-7.52,5.57,-3.23,-0.26,2.44,1.35,21.67,9.60,-44.93,9964
-7.68,6.26,-3.68,-0.08,2.42,1.48,25.12,9.50,-42.81,9999
-5.92,6.76,-3.62,0.21,2.44,1.45,27.49,8.56,-40.65,10033
-4.83,6.20,-3.80,0.66,2.17,1.51,30.84,6.88,-38.26,10067
-7.45,6.65,-3.91,1.17,2.04,1.49,33.59,5.66,-37.64,10101
-6.31,7.81,-3.18,1.53,1.13,1.76,35.43,3.60,-36.99,10135
-4.84,10.34,-1.60,1.45,0.50,1.87,37.59,0.26,-37.08,10169
-3.34,11.49,-0.54,0.78,1.00,1.29,39.65,-2.09,-36.44,10204
-4.78,10.80,-0.75,0.05,1.61,0.34,41.22,-3.04,-33.67,10238
-5.50,8.56,-1.33,-0.22,1.50,-0.38,42.39,-3.20,-31.85,10272
3.03,38.92,-9.71,0.66,0.36,-0.53,42.75,-2.32,-30.46,10306
-5.75,6.47,-6.34,0.81,0.10,-2.39,41.44,1.52,-29.41,10340
3.34,14.55,-0.98,0.87,-1.09,-0.60,41.38,1.39,-30.75,10375
-5.49,8.31,-5.54,0.45,-0.75,-0.44,40.79,1.15,-31.72,10409
-6.31,8.03,-6.31,0.31,-0.97,0.00,40.68,1.32,-32.89,10443
-4.52,8.41,-1.84,-0.01,-1.00,0.29,40.56,0.29,-34.70,10477
-4.76,9.45,-2.10,-0.27,-0.81,0.38,40.56,-0.91,-35.12,10511
-1.96,9.42,-3.82,-0.41,-1.10,0.76,40.30,-1.59,-36.01,10545
-1.96,8.61,-2.98,-0.45,-1.19,1.05,40.22,-3.26,-38.06,10580
-2.79,8.17,-5.01,-0.38,-1.19,0.85,39.71,-4.08,-39.11,10614
-0.31,7.63,-4.67,-0.33,-1.05,0.57,39.21,-5.06,-40.38,10648
-2.53,7.26,-5.62,-0.27,-0.93,0.10,38.21,-5.09,-41.80,10682
-1.05,9.04,-1.92,-0.20,-1.26,-0.17,37.71,-5.06,-42.97,10716
-3.10,9.56,-2.93,-0.26,-0.94,-0.37,36.06,-4.69,-44.15,10750
-3.77,8.65,-0.74,-0.25,-1.08,-0.27,35.37,-3.89,-45.73,10785
-4.16,8.69,-2.07,-0.37,-1.15,-0.16,34.33,-4.06,-45.95,10819
-2.82,8.66,-1.75,-0.49,-1.19,-0.12,33.38,-3.80,-47.41,10853
-2.20,9.11,-2.76,-0.53,-1.19,-0.33,31.82,-2.67,-48.68,10887
-0.94,9.70,-4.04,-0.59,-1.61,-0.17,30.69,-1.78,-49.39,10921
2.65,13.27,-1.36,-0.27,-2.81,-0.06,27.51,-1.32,-51.87,10956
-1.20,17.54,-11.67,-0.53,-3.19,-0.52,24.33,0.50,-53.64,10990
-1.16,13.94,-13.35,-0.79,-2.98,-0.40,21.70,2.09,-54.98,11024
-19.75,-0.00,-4.33,-1.52,-2.53,-0.61,17.20,4.50,-56.52,11058
-5.95,7.19,-2.70,-0.34,0.71,-2.28,15.70,6.12,-56.18,11092
0.28,3.72,0.20,-1.09,2.76,-2.53,16.05,8.90,-53.95,11126
-6.18,0.24,-2.44,-0.31,4.02,-1.68,17.90,11.66,-51.46,11161
-10.76,2.40,-2.94,0.45,3.09,-0.63,20.15,12.06,-49.72,11195
-4.31,4.73,-1.47,1.25,0.52,1.18,22.79,10.26,-49.97,11229
-3.22,7.81,1.58,1.63,0.07,1.58,24.39,8.29,-51.40,11263
-3.66,10.41,2.06,1.56,0.93,1.33,26.88,5.57,-52.05,11297
-5.02,10.20,0.04,1.18,2.23,0.80,30.09,3.52,-50.82,11332
-5.80,8.95,-1.56,1.00,1.65,0.78,32.32,1.96,-49.30,11366
