ax,ay,az,gx,gy,gz,mx,my,mz,timestamp
0.21,-9.63,-1.76,-0.37,0.03,-0.02,-35.40,-25.37,-27.52,1643
-0.34,-9.63,-2.41,-0.66,-0.15,-0.03,-35.19,-25.78,-28.09,1677
0.38,-9.84,-2.65,-0.28,-0.11,0.10,-34.98,-25.93,-27.40,1711
0.77,-8.81,-2.35,0.29,-0.11,0.13,-34.95,-25.75,-27.48,1746
1.95,-9.80,-1.59,-0.02,-0.27,-0.12,-35.34,-25.64,-27.14,1780
2.08,-10.04,-1.50,-0.03,-0.09,-0.32,-35.44,-25.99,-27.16,1814
0.46,-10.63,-0.95,0.49,0.23,-0.26,-35.14,-27.17,-26.53,1848
-1.53,-9.67,-0.94,0.64,0.21,-0.23,-34.70,-27.00,-26.56,1882
-0.41,-9.77,-3.53,-0.01,-0.11,-0.25,-34.43,-27.86,-26.75,1916
-1.95,-8.98,-2.90,-0.28,0.59,0.03,-34.70,-27.45,-26.56,1951
-2.53,-9.83,-0.93,-0.43,0.86,0.24,-34.29,-27.58,-28.02,1985
-0.61,-10.90,0.67,-0.50,0.96,0.35,-34.04,-27.43,-29.16,2019
2.89,-9.06,-1.52,-1.03,2.44,0.49,-34.54,-26.91,-31.69,2053
2.56,-10.35,-0.74,-1.66,4.48,1.07,-33.59,-24.80,-37.66,2087
-1.67,-11.64,1.08,-0.95,3.05,-0.30,-31.92,-24.36,-42.66,2122
0.26,-10.14,-2.33,-0.66,1.63,-0.96,-30.65,-25.11,-45.02,2156
2.20,-9.27,-4.68,-0.21,0.59,-1.41,-29.98,-26.72,-45.50,2190
1.29,-10.27,-1.57,-0.42,0.68,-1.20,-28.91,-27.97,-46.32,2224
4.58,-10.36,0.73,-0.17,0.43,-0.94,-28.16,-29.09,-46.55,2258
3.30,-10.25,-1.39,-0.11,0.41,-0.90,-27.55,-30.61,-47.16,2292
3.08,-9.59,-5.47,-0.01,0.53,-0.17,-27.20,-30.53,-47.84,2327
3.66,-10.58,-3.27,0.28,0.43,0.31,-27.45,-30.20,-47.71,2361
5.05,-9.20,-1.89,0.32,0.16,0.31,-27.74,-30.33,-47.56,2395
0.71,-12.10,-0.83,0.31,0.12,0.43,-27.61,-29.58,-47.63,2429
0.56,-8.89,-1.14,0.55,-0.29,0.21,-28.34,-30.43,-47.54,2463
2.18,-6.88,-2.87,0.56,-0.38,0.06,-29.23,-29.58,-47.15,2498
-0.24,-9.15,-5.50,0.57,-0.37,0.04,-29.79,-30.15,-45.40,2532
3.59,-6.62,-5.69,0.38,-0.26,-0.34,-29.52,-30.80,-45.48,2566
3.60,-9.23,-1.61,0.22,0.24,-0.24,-29.98,-30.65,-45.64,2600
1.72,-10.35,-0.19,0.30,0.46,-0.08,-29.66,-31.18,-45.86,2634
1.28,-11.43,-1.62,0.58,0.25,0.01,-29.44,-30.69,-46.42,2668
-2.16,-10.27,-2.86,0.67,0.59,0.16,-29.10,-30.72,-46.45,2703
-2.15,-11.71,-4.51,0.65,0.93,0.15,-28.15,-30.90,-46.58,2737
-8.21,-12.22,-7.53,0.74,1.15,-0.14,-27.08,-30.82,-48.00,2771
5.82,-15.53,-9.72,0.88,0.74,-0.15,-26.31,-31.48,-47.24,2805
4.55,-10.88,-7.50,0.51,1.96,0.74,-24.89,-31.56,-48.99,2839
3.77,-8.19,-9.40,-0.54,0.40,-0.29,-23.34,-31.77,-49.61,2874
2.75,-6.86,-3.04,-0.22,-0.84,-0.17,-22.92,-32.14,-49.01,2908
5.10,-4.05,-3.57,-0.48,-2.05,0.13,-24.23,-32.55,-48.00,2942
5.81,-3.80,-3.33,-1.04,-1.13,1.09,-26.22,-31.83,-47.44,2976
4.06,-4.85,-3.27,-1.47,-0.51,1.51,-27.92,-30.23,-47.78,3010
3.84,-6.65,-2.31,-1.66,0.00,1.80,-29.44,-27.04,-49.28,3044
3.94,-8.51,-2.45,-1.65,-0.01,1.70,-30.59,-24.47,-49.36,3079
3.47,-9.70,-2.88,-1.65,-0.22,1.42,-31.48,-21.98,-50.39,3113
2.99,-10.69,-2.98,-1.47,-0.78,0.87,-33.62,-18.80,-49.71,3147
2.55,-10.89,-3.29,-1.29,-0.91,0.53,-35.36,-17.54,-49.14,3181
2.29,-10.48,-4.10,-0.94,-1.03,0.08,-36.70,-15.40,-47.78,3215
2.68,-9.25,-3.80,-0.84,-0.88,-0.31,-37.49,-14.78,-45.97,3250
1.23,-8.90,-3.73,-0.79,-0.54,-0.37,-38.31,-14.03,-45.09,3284
0.83,-8.57,-4.40,-0.77,-0.46,-0.53,-38.75,-13.37,-44.39,3318
0.68,-7.37,-4.24,-0.92,-0.04,-0.31,-39.20,-12.99,-43.16,3352
0.43,-8.21,-4.92,-0.92,0.05,-0.13,-38.73,-11.75,-42.66,3386
-0.45,-9.58,-3.86,-1.00,0.27,0.06,-38.61,-10.58,-43.60,3420
2.01,-9.65,-3.54,-0.79,0.25,-0.06,-38.09,-9.95,-42.55,3455
4.94,-8.17,-4.87,-0.62,0.57,-0.19,-37.21,-9.51,-41.77,3489
0.64,-13.89,3.95,-0.35,3.85,0.38,-35.53,-9.43,-45.62,3523
2.12,-11.33,2.95,0.11,0.24,-1.04,-33.82,-10.04,-47.47,3557
1.70,-10.56,-3.42,1.15,-0.25,-1.21,-33.21,-11.94,-47.15,3591
2.02,-5.54,-5.70,0.52,0.79,-1.38,-33.19,-14.73,-47.21,3625
1.36,-9.13,-5.90,0.23,0.34,-0.43,-32.40,-16.18,-47.81,3660
4.93,-11.27,-1.58,0.49,0.44,0.16,-31.58,-16.38,-47.69,3694
4.72,-10.43,-2.64,0.78,0.64,0.76,-30.99,-16.11,-48.77,3728
3.16,-9.36,-4.08,0.94,0.89,1.00,-29.93,-16.08,-49.65,3762
2.71,-6.73,-5.80,0.90,1.05,1.02,-29.09,-15.96,-50.57,3796
1.56,-6.94,-5.24,0.79,1.05,0.36,-28.06,-16.38,-52.15,3831
2.32,-8.04,-5.56,0.60,1.02,0.16,-27.02,-16.87,-52.97,3865
1.77,-8.34,-2.53,0.51,1.19,-0.21,-26.21,-17.58,-53.48,3899
3.25,-9.80,-1.97,0.41,1.37,-0.24,-24.76,-19.00,-54.85,3933
4.53,-8.58,-0.99,0.45,1.55,-0.20,-22.81,-20.21,-55.89,3967
4.05,-8.51,-2.26,0.48,1.42,-0.36,-21.44,-21.24,-58.08,4001
3.78,-8.50,-2.90,0.38,1.93,-0.45,-18.94,-22.08,-58.67,4036
-3.84,-11.37,-3.78,-0.14,3.60,0.43,-15.84,-22.16,-60.86,4070
-0.83,-14.15,-11.28,0.64,3.04,-0.10,-12.15,-23.34,-62.16,4104
-2.83,-17.12,-12.01,0.98,2.78,0.08,-7.86,-24.71,-63.87,4138
9.30,-9.42,-6.57,1.41,2.36,0.31,-6.36,-26.28,-64.02,4172
14.36,-6.89,-8.86,0.82,1.24,-2.05,-3.81,-28.78,-63.69,4207
3.77,-6.14,-2.06,1.47,-1.64,-3.02,-4.21,-31.25,-63.12,4241
2.23,-1.11,-3.07,0.46,-3.82,-2.65,-7.88,-32.70,-62.36,4275
7.16,-0.23,-2.94,-0.37,-3.93,-2.08,-10.77,-33.59,-61.93,4309
3.11,-2.54,-2.10,-1.15,-2.14,-0.14,-14.12,-32.33,-61.65,4343
3.79,-5.28,-1.44,-1.70,-1.35,0.94,-17.67,-29.85,-61.72,4377
3.70,-6.93,0.15,-1.75,-1.45,1.33,-19.94,-27.04,-61.60,4412
4.04,-9.07,0.14,-1.54,-1.90,1.48,-23.55,-23.21,-60.65,4446
4.97,-10.50,-2.17,-1.31,-2.07,1.42,-26.86,-20.02,-59.76,4480
6.89,-10.57,-4.26,-0.69,-1.91,1.14,-29.71,-17.54,-57.42,4514
4.80,-11.13,-3.80,-0.47,-0.45,1.06,-31.54,-15.11,-56.65,4548
3.81,-11.59,-2.68,-0.35,-0.05,0.73,-31.75,-13.90,-56.31,4583
4.10,-11.72,-0.87,0.14,-0.56,0.13,-32.21,-12.72,-55.26,4617
5.39,-10.65,-1.38,0.74,-0.79,-0.32,-33.18,-12.79,-53.70,4651
6.88,-10.49,-0.50,0.85,0.07,-0.33,-33.37,-13.71,-54.30,4685
-3.20,-18.92,-2.73,1.05,0.66,-1.05,-32.08,-15.26,-54.00,4719
-2.41,-9.20,-3.57,1.39,-0.14,-1.43,-31.51,-17.55,-54.71,4753
0.47,-3.87,-5.53,1.07,-0.78,-1.14,-32.07,-20.53,-53.04,4788
-3.05,-17.83,-6.75,0.42,0.09,0.35,-31.29,-20.04,-52.38,4822
4.61,-6.70,-0.42,0.80,-0.25,-0.10,-31.47,-20.37,-51.29,4856
6.22,-8.45,-4.18,1.04,-0.05,0.12,-31.10,-20.18,-51.30,4890
2.77,-10.53,-3.78,1.32,-0.34,-0.07,-31.20,-21.73,-50.64,4924
5.49,-5.66,-4.82,1.60,-0.96,-0.59,-31.29,-22.83,-49.02,4958
-2.40,-12.26,-6.88,1.74,-1.23,-0.69,-31.09,-23.88,-46.92,4993
-13.76,-20.64,-3.37,2.75,-2.07,0.20,-31.13,-25.11,-44.08,5027
-21.57,-21.32,-7.40,4.71,-5.07,0.52,-31.42,-26.85,-34.52,5061
5.23,-22.17,-17.75,5.94,-11.12,-3.98,-30.58,-31.99,-20.43,5095
-0.89,9.87,-21.53,2.97,-6.54,-2.95,-24.32,-35.63,-10.90,5129
-12.58,-0.32,-11.90,1.72,-4.72,0.67,-20.08,-35.37,-5.19,5164
10.06,-9.34,-6.96,2.32,-6.73,-0.77,-14.88,-34.54,0.37,5198
4.61,-0.23,-27.46,2.72,-6.80,-2.24,-6.71,-34.29,5.31,5232
39.16,38.89,-36.30,0.07,-1.38,-2.07,0.13,-33.97,6.23,5266
18.72,-3.64,-20.65,-0.34,-3.76,-2.58,2.08,-35.19,5.70,5300
6.40,-6.53,5.19,-1.49,-0.49,0.03,4.56,-36.33,4.62,5334
5.22,-12.89,5.65,-1.24,-0.96,-0.31,5.93,-37.30,3.54,5369
6.87,-5.79,-7.50,-0.82,-1.68,0.35,7.76,-38.54,2.29,5403
-1.10,-16.93,-4.57,-0.66,-1.93,1.60,8.78,-40.25,1.43,5437
4.71,-27.20,14.83,2.11,-4.61,0.67,11.17,-39.11,2.06,5471
-18.10,-10.28,2.36,2.54,-4.74,-2.47,18.81,-35.28,2.22,5505
3.57,2.13,-14.02,4.12,-9.60,-5.18,29.58,-28.87,-2.82,5540
6.98,4.26,-11.49,2.50,-6.42,-3.63,36.16,-22.76,-8.89,5574
4.09,-2.06,-5.41,1.10,-3.47,-2.69,39.30,-18.44,-12.79,5608
0.15,-6.72,2.38,0.90,-3.16,-2.16,40.94,-15.02,-17.11,5642
-0.81,-13.37,0.27,1.72,-3.85,-2.58,41.89,-12.61,-22.79,5676
3.64,-8.11,-1.33,2.23,-3.91,-2.72,41.73,-8.10,-29.10,5710
19.73,-14.81,-17.18,0.65,-1.29,-1.66,41.13,-5.67,-31.98,5745
1.00,3.05,1.89,1.05,-0.96,-1.75,40.11,-3.10,-31.80,5779
11.78,-13.18,-10.28,0.21,-0.97,-0.03,39.87,-2.37,-33.72,5813
5.06,-6.04,4.80,-0.18,1.23,0.23,40.37,-3.03,-31.73,5847
8.77,-10.39,-11.76,-0.69,0.99,1.53,41.55,-4.17,-30.05,5881
4.24,-11.98,-13.87,-0.68,1.86,2.03,42.85,-6.04,-27.84,5916
8.11,-13.76,-12.60,-0.80,3.39,2.28,44.10,-9.35,-23.18,5950
0.05,-16.08,-15.77,-2.05,5.77,3.30,43.82,-13.17,-15.46,5984
6.48,-2.38,-9.55,-3.71,7.34,2.59,40.31,-18.15,-5.95,6018
1.00,14.71,-0.82,-4.61,4.91,1.19,34.95,-23.78,1.17,6052
-8.39,-10.18,-0.73,-3.36,-0.38,1.03,33.70,-27.23,-0.28,6086
