ax,ay,az,gx,gy,gz,mx,my,mz,timestamp
4.04,-9.31,-0.92,0.96,0.47,0.23,-44.97,31.83,21.66,238269
3.55,-9.10,0.39,2.34,0.69,-0.29,-46.78,34.61,18.30,238303
4.81,-8.38,1.66,0.10,-0.45,-0.04,-46.62,35.47,17.04,238337
2.77,-9.50,1.39,-1.96,-1.39,-0.16,-44.43,32.02,20.33,238372
4.61,-8.19,-2.03,-2.50,-1.55,0.08,-40.88,27.95,25.86,238406
3.75,-8.60,-2.51,-0.51,-0.02,-0.32,-40.31,25.53,28.08,238440
3.36,-8.29,-2.02,0.51,0.42,0.18,-40.95,25.77,27.04,238474
3.11,-8.47,-1.31,0.15,0.22,-0.09,-41.33,26.43,26.56,238508
3.94,-9.74,-0.76,0.01,-0.03,-0.22,-42.24,26.35,26.22,238542
3.29,-9.08,-0.97,0.41,-0.11,-0.14,-42.15,26.21,26.00,238577
4.15,-8.99,-1.07,0.22,-0.16,-0.07,-41.99,26.81,25.67,238611
4.16,-8.71,-1.76,0.24,-0.02,-0.06,-42.25,26.66,25.31,238645
4.36,-8.76,-0.76,0.68,0.24,-0.14,-42.93,27.04,23.84,238679
4.47,-7.67,0.09,0.22,-0.08,-0.14,-42.55,27.57,23.11,238713
4.40,-9.48,-0.94,0.24,-0.22,-0.00,-42.62,27.55,23.68,238748
3.53,-8.91,-0.76,0.25,-0.33,0.03,-41.23,27.93,24.57,238782
4.01,-9.73,-0.83,0.20,-0.31,-0.21,-41.63,27.58,24.51,238816
3.85,-9.06,-0.84,0.93,-0.15,-0.20,-41.30,28.95,23.90,238850
3.82,-9.19,-0.33,1.23,0.06,-0.33,-41.76,30.50,22.60,238884
3.25,-12.46,1.02,1.45,0.11,-0.44,-42.58,31.29,20.64,238918
3.98,-8.03,0.23,1.58,0.14,-0.54,-43.67,32.81,18.24,238953
3.80,-8.23,0.56,0.99,0.13,-0.23,-43.89,33.18,16.92,238987
4.28,-8.89,1.36,0.98,0.11,-0.22,-44.83,34.83,15.27,239021
3.62,-7.93,1.10,0.31,-0.07,-0.20,-44.61,34.43,14.50,239055
3.79,-9.20,1.28,-0.61,-0.82,0.38,-43.66,34.24,15.99,239089
4.12,-7.55,0.45,-1.21,-0.26,0.47,-41.99,32.86,18.44,239124
2.26,-9.35,-0.04,0.13,0.10,0.28,-41.32,32.33,19.54,239158
4.15,-7.21,-0.51,0.33,-0.33,0.04,-40.68,32.58,19.51,239192
4.21,-9.93,-0.02,-0.83,-0.26,0.48,-39.75,31.79,21.06,239226
3.38,-7.49,0.03,0.72,-0.48,-0.11,-39.92,33.24,21.29,239260
3.28,-8.88,0.00,-0.79,-1.02,-0.32,-39.18,32.15,23.03,239294
4.52,-11.20,0.10,0.58,-0.27,0.47,-38.09,31.88,23.60,239329
4.46,-8.82,0.21,0.97,0.54,0.12,-37.24,33.92,22.13,239363
5.04,-10.76,0.34,-0.67,0.61,-0.12,-39.16,34.71,20.53,239397
-0.95,-8.63,0.15,0.44,0.42,0.35,-39.84,35.22,19.34,239431
0.33,-10.74,-0.33,0.75,-0.08,0.63,-39.14,35.28,19.48,239465
4.01,-11.09,0.52,0.46,-0.61,-0.39,-38.21,35.88,18.93,239500
2.20,-8.65,0.88,0.77,-0.63,-0.82,-38.85,36.29,19.03,239534
3.55,-8.16,1.45,1.31,-1.25,0.06,-37.59,37.15,18.14,239568
3.68,-8.61,1.81,0.97,-1.07,-0.02,-36.33,38.31,18.17,239602
4.49,-8.53,0.62,0.15,-1.03,-0.05,-35.37,38.83,18.85,239636
4.10,-9.09,1.76,-0.54,-0.52,-0.01,-34.22,38.48,20.67,239670
3.52,-10.74,2.59,-0.13,-0.63,0.26,-33.24,38.10,21.67,239705
1.73,-10.40,-0.56,0.99,-1.06,0.09,-31.67,40.08,21.95,239739
3.35,-7.83,1.98,-0.46,-1.31,-0.21,-30.01,39.78,22.89,239773
0.76,-9.33,2.39,0.60,-2.10,0.26,-27.97,40.25,24.04,239807
4.61,-5.69,-1.22,2.17,-1.74,0.50,-23.90,42.97,22.68,239841
3.20,-8.38,-3.89,-0.10,-1.11,0.34,-21.98,44.87,23.43,239875
6.47,-8.69,-0.03,-0.18,-1.63,-0.80,-20.42,42.85,25.17,239910
3.14,-6.69,-0.73,-0.96,-1.36,-0.14,-18.20,40.97,27.08,239944
13.67,-14.38,-2.69,-0.72,-0.50,-0.00,-16.56,39.23,29.44,239978
2.37,-6.75,-2.01,0.94,0.49,-0.08,-17.60,40.75,27.57,240012
5.36,-8.43,-2.01,-0.29,-1.27,-0.95,-17.42,40.22,29.17,240046
6.15,-7.37,-1.81,0.18,-1.79,-0.68,-16.12,40.09,29.68,240081
5.53,-11.12,-1.37,1.06,0.22,-0.29,-15.43,40.54,29.73,240115
6.77,-9.52,1.35,2.16,0.33,1.03,-15.51,42.74,26.09,240149
5.12,-7.76,1.12,0.30,0.94,0.62,-16.06,44.58,24.96,240183
2.85,-8.34,0.42,-4.13,1.30,0.18,-18.74,42.59,28.90,240217
2.12,-10.55,-1.46,-1.51,0.42,0.49,-19.39,39.49,33.27,240251
3.32,-9.37,-1.25,-0.59,0.29,0.34,-20.20,38.91,33.85,240286
1.96,-8.56,-0.63,-0.60,0.56,0.33,-20.45,38.37,34.87,240320
1.17,-9.10,-1.91,-0.02,-0.38,0.06,-20.75,38.15,35.71,240354
