ax,ay,az,gx,gy,gz,mx,my,mz,timestamp
-3.18,-7.35,5.93,0.12,-0.02,-0.00,-40.50,15.61,46.71,98130
-2.88,-7.13,5.81,0.25,0.07,-0.08,-40.57,16.25,46.49,98165
-3.18,-7.40,6.13,0.13,0.04,-0.08,-40.95,17.20,46.62,98199
-3.05,-7.60,6.45,0.11,-0.01,-0.10,-40.85,16.71,46.64,98233
-3.44,-7.16,6.31,-0.18,-0.38,-0.13,-39.92,15.58,46.24,98267
-2.40,-8.15,6.15,-0.36,-0.56,-0.07,-39.16,15.04,46.90,98301
-2.30,-7.54,6.26,0.08,-0.22,-0.10,-39.26,14.98,46.70,98335
-2.87,-7.29,6.03,0.05,-0.04,0.01,-38.75,15.16,45.53,98370
-3.04,-7.01,6.08,0.06,0.06,-0.01,-39.36,14.94,43.93,98404
-3.26,-7.17,5.99,0.12,0.00,0.09,-39.96,14.64,42.47,98438
-3.41,-7.31,5.97,0.08,-0.04,0.08,-40.81,15.14,41.39,98472
-3.25,-7.72,6.06,0.15,-0.03,0.01,-40.49,14.86,40.19,98506
-3.37,-7.61,6.05,0.20,-0.15,-0.06,-41.04,15.13,40.08,98541
-3.71,-7.03,5.92,0.44,-0.32,-0.11,-40.53,15.67,39.93,98575
-3.16,-6.67,5.74,0.38,-0.38,-0.09,-39.64,15.90,39.16,98609
-2.69,-7.31,6.33,0.27,-0.28,-0.13,-39.08,15.74,39.93,98643
-3.08,-6.54,6.20,0.33,-0.23,-0.13,-38.57,14.89,39.33,98677
-2.34,-7.42,6.64,0.17,-0.45,-0.08,-37.85,14.92,39.33,98711
-2.09,-7.33,6.61,0.31,-0.39,-0.06,-37.66,14.44,38.98,98746
-2.43,-7.58,6.95,0.15,-0.20,-0.09,-37.36,14.44,39.51,98780
-2.46,-7.14,7.31,0.39,-0.26,-0.10,-36.64,14.79,39.37,98814
-2.86,-6.52,7.02,0.09,-0.34,0.03,-35.55,14.76,40.02,98848
-1.81,-8.22,7.37,0.18,-0.59,-0.13,-35.38,14.85,40.12,98882
-1.77,-6.53,7.04,0.57,-0.58,-0.15,-34.81,15.80,39.97,98916
-1.49,-7.01,7.13,0.37,-0.35,-0.07,-34.23,16.12,40.46,98951
-1.63,-6.57,7.25,0.61,-0.11,-0.17,-34.08,18.08,39.77,98985
-1.89,-6.28,7.11,0.36,0.07,-0.11,-34.42,18.65,40.05,99019
-1.85,-7.55,7.74,0.52,0.12,-0.12,-34.79,19.00,39.46,99053
-1.83,-5.48,7.07,0.98,0.11,-0.27,-35.47,20.94,38.37,99087
-1.98,-6.78,7.84,0.17,0.03,-0.13,-35.41,21.02,37.97,99122
-2.22,-5.84,8.06,0.54,-0.00,-0.18,-36.23,21.75,37.56,99156
-2.31,-5.75,7.90,0.16,-0.10,-0.10,-36.19,22.57,36.77,99190
-2.05,-5.79,7.89,-0.03,-0.09,-0.09,-35.55,22.29,38.26,99224
-2.04,-6.00,8.00,-0.00,-0.08,-0.07,-36.00,22.22,37.39,99258
-2.07,-5.89,7.85,0.08,0.02,-0.01,-35.79,22.29,38.34,99292
-2.16,-6.14,7.71,-0.03,-0.01,-0.07,-35.75,21.81,37.78,99327
-2.37,-5.98,7.66,0.07,0.01,-0.07,-36.28,21.78,38.04,99361
-2.26,-5.81,7.60,-0.11,-0.05,-0.09,-36.26,21.82,36.99,99395
-2.17,-6.09,7.69,-0.27,-0.11,-0.07,-35.81,21.02,37.88,99429
-2.12,-6.02,7.57,-0.25,-0.09,-0.05,-35.68,20.68,38.32,99463
-2.10,-5.52,7.51,-1.05,-0.12,-0.11,-35.78,18.47,38.97,99498
-2.04,-6.47,7.45,-1.49,-0.15,0.05,-35.47,16.22,40.78,99532
-1.44,-7.53,6.59,-1.14,0.07,0.14,-35.08,13.77,40.84,99566
-2.55,-7.51,6.73,-0.07,0.10,-0.08,-35.25,12.91,40.92,99600
-2.22,-7.25,6.58,-0.09,-0.04,-0.10,-36.33,12.55,41.26,99634
-2.35,-7.30,6.39,-0.03,-0.11,-0.07,-37.42,12.63,42.05,99668
-2.92,-6.71,6.05,0.07,-0.01,-0.08,-37.42,12.98,42.17,99703
-2.94,-7.14,6.41,0.08,-0.01,-0.07,-37.45,13.02,40.94,99737
-1.98,-7.45,6.89,0.05,-0.22,-0.09,-38.04,12.72,41.63,99771
-1.57,-7.27,6.89,0.05,-0.16,-0.06,-38.48,12.76,41.98,99805
-1.54,-7.63,7.25,0.00,0.10,-0.10,-38.79,12.38,40.56,99839
-2.13,-8.15,7.39,-0.11,0.18,-0.12,-39.21,12.10,40.87,99874
-0.89,-8.18,7.72,-0.16,0.43,-0.21,-40.35,11.56,40.05,99908
-1.47,-8.33,7.73,-0.38,0.74,-0.26,-41.55,11.17,38.34,99942
-2.41,-8.69,7.06,-0.53,0.78,-0.35,-43.10,9.79,38.13,99976
-1.86,-8.70,6.22,-0.70,0.86,-0.48,-45.12,8.48,36.10,100010
-2.61,-8.50,5.41,-0.87,0.90,-0.67,-46.58,7.10,35.46,100044
-2.57,-8.52,4.90,-0.94,0.92,-0.77,-48.28,4.43,33.34,100079
-1.57,-8.60,4.66,-1.07,0.89,-0.90,-49.84,2.00,31.80,100113
-2.50,-9.35,4.38,-1.22,0.88,-1.17,-51.72,-1.83,29.54,100147
-0.69,-8.39,2.83,-1.41,0.63,-1.33,-52.86,-5.32,28.44,100181
0.05,-7.68,2.50,-1.49,0.81,-1.56,-53.77,-9.49,26.47,100215
0.46,-6.15,1.30,-1.67,0.56,-1.84,-54.08,-14.89,23.72,100250
-0.20,-8.39,1.47,-1.73,0.53,-1.90,-54.62,-20.81,23.14,100284
2.06,-5.50,0.50,-2.03,-0.03,-2.41,-53.26,-27.80,21.54,100318
2.76,-20.68,-7.41,-2.40,-0.62,-2.79,-49.87,-35.00,19.85,100352
-5.17,-9.90,5.96,-1.87,0.53,-2.72,-46.64,-42.36,18.23,100386
4.86,-5.81,-5.12,-2.60,-0.89,-2.25,-43.12,-49.50,14.60,100420
-2.75,-9.55,-0.11,-1.39,1.03,-1.80,-40.87,-53.42,11.94,100455
2.94,-12.35,-0.73,-1.22,-0.16,-1.14,-38.41,-57.21,10.67,100489
0.48,-10.36,-0.70,-0.83,-0.30,-0.82,-36.45,-59.25,8.74,100523
2.96,-12.31,-2.48,-0.54,-0.51,-0.43,-35.09,-60.32,8.35,100557
-0.00,-8.54,-1.99,-0.28,-0.05,0.08,-35.33,-60.84,6.93,100591
2.58,-8.74,-3.02,-0.24,-0.42,0.04,-35.34,-61.17,8.10,100625
1.54,-7.98,-2.74,-0.13,-0.24,-0.16,-34.77,-60.55,6.81,100660
1.47,-9.23,-2.77,-0.06,-0.04,-0.26,-34.16,-61.46,7.21,100694
2.85,-9.55,-2.38,-0.22,0.17,-0.20,-34.17,-62.26,7.75,100728
5.66,-7.39,-3.81,-0.05,0.18,-0.48,-33.53,-62.63,6.94,100762
6.02,-7.54,-2.22,-0.09,0.13,-0.59,-32.81,-63.59,6.17,100796
5.63,-7.67,-2.07,-0.27,-0.06,-0.55,-31.88,-63.26,6.18,100831
4.93,-7.66,-3.57,-0.27,-0.22,-0.41,-30.94,-64.34,5.64,100865
5.39,-7.46,-4.81,-0.12,-0.34,-0.25,-30.62,-65.01,6.07,100899
5.38,-7.66,-3.94,0.03,-0.23,-0.10,-29.95,-64.62,6.24,100933
5.34,-8.89,-2.84,0.22,-0.10,0.12,-30.06,-64.45,6.05,100967
4.23,-9.29,-2.32,0.29,-0.21,0.32,-31.04,-64.25,6.62,101001
4.01,-9.37,-2.09,0.34,-0.33,0.58,-32.17,-63.07,7.34,101036
