ax,ay,az,gx,gy,gz,mx,my,mz,timestamp
2.02,9.20,-3.48,0.34,0.06,-0.09,-23.55,-2.29,-50.41,39688
2.13,9.07,-3.67,0.29,0.10,-0.25,-23.34,-2.34,-50.45,39722
2.34,9.28,-3.51,-0.02,0.26,-0.31,-23.14,-2.66,-50.03,39756
2.51,9.27,-3.19,-0.30,0.40,-0.36,-22.65,-3.01,-50.66,39791
2.11,9.38,-2.56,-0.91,0.44,-0.39,-21.54,-2.37,-50.69,39825
2.35,9.28,-1.58,-1.35,0.35,-0.24,-20.49,-1.89,-50.66,39859
3.09,9.06,-1.55,-1.46,0.36,-0.33,-19.91,0.28,-51.05,39893
2.97,8.01,-1.14,-0.69,0.22,-0.24,-19.18,1.15,-51.26,39927
3.06,9.22,-0.94,-0.58,0.35,0.01,-18.34,1.70,-51.30,39961
2.23,9.54,-1.17,-0.55,0.51,-0.01,-18.05,2.24,-51.33,39996
1.53,10.19,-1.42,-0.64,0.76,-0.13,-16.50,3.42,-51.52,40030
1.37,11.24,-1.42,-0.61,0.75,-0.24,-15.67,3.83,-51.67,40064
0.14,11.33,-1.05,-0.52,0.50,-0.57,-14.26,4.41,-51.86,40098
-0.57,10.97,-1.90,-0.44,0.15,-1.04,-14.18,4.98,-51.56,40132
-0.65,10.07,-1.92,-0.23,-0.30,-1.37,-14.67,4.91,-52.08,40166
-0.30,9.74,-1.85,-0.08,-0.47,-1.85,-15.46,4.24,-51.05,40201
0.90,8.23,-1.54,-0.12,-0.41,-2.23,-17.17,3.62,-51.20,40235
0.96,8.48,-1.17,-0.02,-0.46,-2.36,-18.09,2.63,-50.76,40269
0.66,9.25,-0.03,-0.09,-0.19,-2.35,-19.19,1.80,-50.64,40303
0.36,8.07,1.22,0.04,0.12,-2.33,-19.79,0.73,-50.61,40337
-3.08,6.81,1.45,0.50,0.95,-2.48,-18.94,-1.62,-51.64,40372
-17.31,13.87,2.46,2.43,-0.26,-1.60,-18.46,-3.55,-52.59,40406
1.16,8.70,5.73,1.47,-1.27,-1.92,-20.65,-5.92,-50.89,40440
-1.69,10.82,3.46,2.21,-0.71,-1.67,-21.46,-9.30,-51.56,40474
1.40,14.26,2.10,1.56,-0.70,-1.30,-22.03,-11.87,-50.26,40508
-0.77,15.05,1.28,0.84,-0.83,-0.65,-22.29,-13.33,-49.93,40542
-5.36,10.14,0.34,0.52,-2.01,0.39,-23.43,-13.27,-47.69,40577
-3.86,6.62,-1.60,0.28,-1.61,-0.34,-25.05,-13.62,-47.47,40611
-4.85,7.53,-0.98,0.13,-1.65,-0.83,-26.43,-14.06,-45.53,40645
-1.68,8.40,-1.84,-0.34,-1.39,-1.12,-26.57,-15.13,-44.84,40679
-6.81,6.15,-2.18,-0.84,-1.19,-1.06,-27.00,-15.24,-44.20,40713
-8.65,6.90,-2.40,-1.46,-0.64,-0.80,-27.29,-14.85,-44.10,40748
-7.48,7.44,0.31,-2.08,0.07,-0.70,-26.92,-13.90,-44.45,40782
-7.46,8.93,1.20,-2.31,1.00,-0.53,-25.64,-11.91,-46.24,40816
-8.75,9.57,0.61,-2.57,1.33,-0.12,-24.09,-9.53,-48.16,40850
