ax,ay,az,gx,gy,gz,mx,my,mz,timestamp
-0.93,-10.03,-1.22,-0.26,0.61,-0.53,36.88,-28.11,-17.92,18054
-2.08,-9.38,-0.99,0.08,0.52,-0.04,36.22,-27.57,-17.01,18088
-0.36,-9.95,-1.31,-0.17,0.46,0.11,35.75,-27.21,-16.37,18123
1.16,-9.49,-1.87,-0.10,0.43,0.02,34.81,-27.19,-16.46,18157
-1.49,-10.23,-0.94,-0.19,0.52,-0.09,34.84,-26.88,-15.38,18191
-1.42,-9.49,-0.89,0.13,0.29,0.08,34.38,-28.02,-15.46,18225
-1.48,-9.57,-0.63,0.03,0.17,0.29,35.19,-29.36,-14.69,18259
1.39,-9.18,-0.86,0.02,0.23,0.21,34.48,-30.14,-14.50,18293
0.74,-10.01,-2.07,-0.03,0.52,0.06,34.04,-29.87,-14.29,18328
-1.65,-9.90,-1.53,0.06,0.54,0.03,33.73,-29.83,-13.31,18362
-0.21,-9.92,-1.65,-0.04,0.32,0.12,34.07,-29.95,-13.20,18396
0.56,-9.29,-1.93,0.02,0.39,0.14,33.95,-29.48,-12.69,18430
-2.21,-9.96,-1.56,-0.05,0.38,0.01,33.41,-29.01,-11.88,18464
-2.02,-10.02,-1.53,0.03,0.20,-0.01,33.82,-29.13,-12.55,18499
-1.52,-10.22,-1.79,0.09,0.19,-0.01,33.73,-28.49,-12.74,18533
-0.19,-8.97,-1.47,0.00,0.31,0.13,33.95,-28.53,-12.03,18567
-0.10,-9.04,-2.01,-0.04,0.44,0.30,33.60,-27.89,-7.54,18601
-1.08,-10.02,-1.72,-0.28,0.26,-0.10,33.73,-27.02,-10.98,18635
0.40,-9.35,-1.19,0.12,0.37,-0.01,34.00,-26.94,-10.03,18669
0.49,-9.25,-1.39,0.05,0.53,0.14,34.58,-27.01,-10.10,18704
-0.13,-9.21,-1.03,-0.12,0.39,-0.04,33.91,-27.24,-10.30,18738
-1.34,-9.68,-1.32,-0.14,0.31,-0.21,34.68,-27.67,-9.11,18772
0.11,-10.05,-1.30,0.22,0.35,0.03,34.76,-27.51,-8.67,18806
0.43,-10.01,-1.71,0.19,0.41,0.06,34.29,-27.48,-8.23,18840
-1.14,-10.18,-1.29,0.26,0.20,-0.39,34.61,-27.96,-8.59,18875
-1.00,-9.52,-0.77,0.22,0.24,-0.22,34.43,-28.15,-8.30,18909
0.11,-10.10,-1.61,0.26,0.02,-0.15,34.30,-28.62,-8.42,18943
-0.95,-9.54,-1.51,0.41,0.06,-0.24,34.24,-28.85,-8.43,18977
0.61,-8.73,-1.04,0.58,0.19,-0.13,34.35,-27.87,-7.98,19011
-0.06,-9.51,-0.31,0.17,0.31,0.03,33.54,-28.40,-7.88,19045
0.24,-9.55,0.01,-0.07,0.19,-0.10,32.80,-29.00,-8.16,19080
-0.34,-10.15,-1.29,-0.21,0.35,-0.01,32.04,-28.98,-7.64,19114
-2.05,-10.31,-0.78,0.21,0.55,0.05,31.70,-28.88,-6.66,19148
-0.18,-9.66,-0.12,0.02,0.36,0.00,30.31,-29.03,-7.67,19182
-0.72,-10.05,0.39,-0.13,0.26,-0.09,29.57,-28.98,-7.04,19216
0.46,-10.31,-0.32,-0.13,0.25,-0.13,29.28,-28.84,-7.22,19250
-0.31,-10.30,-0.53,0.12,0.41,-0.05,28.76,-28.98,-6.09,19285
