ax,ay,az,gx,gy,gz,mx,my,mz,timestamp
-1.42,-9.85,1.38,0.07,0.05,-0.13,35.00,-23.98,-9.19,2246
-1.34,-9.72,1.46,0.14,-0.05,-0.11,34.14,-24.14,-9.38,2280
-0.96,-9.65,1.73,0.12,-0.06,-0.07,34.80,-24.17,-8.55,2314
-0.85,-9.40,1.95,0.02,-0.12,-0.12,34.65,-24.26,-9.27,2348
-0.34,-9.39,1.41,-0.23,-0.20,-0.18,34.95,-24.33,-9.15,2382
-0.72,-9.54,1.61,-0.24,0.07,-0.17,35.19,-24.32,-10.19,2416
-0.96,-9.79,1.20,-0.07,0.04,-0.27,34.98,-23.79,-9.47,2451
-0.81,-9.66,1.10,-0.10,-0.08,-0.36,34.80,-23.81,-9.27,2485
-1.11,-10.03,0.90,-0.08,-0.16,-0.34,35.52,-24.10,-9.81,2519
-0.37,-9.77,1.10,-0.05,-0.16,-0.32,35.68,-23.49,-9.97,2553
-0.42,-9.77,0.95,-0.05,-0.13,-0.40,35.59,-22.76,-10.06,2587
-0.20,-9.69,0.60,-0.06,-0.13,-0.50,36.09,-22.41,-10.90,2622
0.95,-9.60,-0.31,-0.10,-0.17,-0.66,36.14,-22.01,-10.82,2656
0.39,-9.69,-0.51,-0.19,-0.07,-0.88,36.93,-21.54,-10.86,2690
1.50,-9.43,-0.80,-0.23,-0.04,-1.04,36.64,-20.27,-11.55,2724
3.18,-9.66,0.18,-0.29,0.16,-1.10,36.74,-19.48,-11.21,2758
1.21,-10.71,1.40,-0.42,0.69,-1.22,36.33,-18.06,-10.93,2792
3.01,-8.87,1.26,-0.24,-0.46,-1.25,36.54,-16.69,-11.30,2827
2.18,-9.61,0.95,-0.17,0.15,-0.95,36.50,-15.90,-11.30,2861
4.64,-10.15,2.44,-0.14,0.82,-0.82,36.47,-14.69,-10.36,2895
2.11,-10.16,1.02,-0.12,1.42,-1.08,35.76,-14.45,-8.40,2929
0.07,-10.49,-1.84,-0.10,1.49,-1.25,34.62,-12.95,-6.34,2963
-4.88,-12.42,-1.93,-0.19,1.56,-1.38,33.72,-11.72,-3.95,2998
-6.74,-15.31,-2.39,0.21,0.91,-1.62,32.46,-9.88,-3.84,3032
-6.12,-22.11,-4.67,0.45,0.57,-1.62,32.18,-8.08,-2.66,3066
1.37,-13.57,-0.84,0.99,-0.45,-1.67,31.39,-4.79,-4.06,3100
14.53,0.49,-15.14,1.19,-0.99,-1.89,31.35,-1.48,-4.27,3134
-7.16,-7.65,5.02,1.21,-4.07,-0.49,31.79,0.45,-8.70,3168
-3.07,-3.68,-1.26,1.11,-8.10,1.26,35.18,0.73,-18.69,3203
-0.57,-3.55,-1.81,1.70,-8.60,2.38,35.71,-1.71,-28.87,3237
7.87,-2.38,-0.85,2.57,-6.66,2.95,33.63,-5.71,-38.99,3271
33.33,-14.68,-17.23,1.64,-4.91,3.23,31.06,-9.37,-44.55,3305
-24.06,-39.20,3.83,0.45,0.59,2.93,31.15,-12.01,-43.91,3339
21.83,-6.64,4.24,-0.68,2.42,-0.07,31.25,-10.27,-42.90,3374
4.19,-7.42,-4.50,-0.66,1.51,-0.88,32.77,-9.06,-41.48,3408
-2.64,-9.97,-0.40,-0.84,1.94,-0.83,33.56,-6.52,-39.52,3442
-6.93,-9.50,-0.24,-0.90,2.53,-0.69,34.65,-5.54,-37.46,3476
1.47,-13.10,1.08,-0.37,1.66,-0.51,35.21,-4.00,-35.60,3510
1.09,-10.42,-1.15,0.38,0.75,-0.51,35.03,-3.00,-33.92,3544
1.83,-10.01,-1.97,0.77,0.58,-0.56,35.55,-2.88,-33.35,3579
-0.92,-10.42,-2.02,1.10,0.02,-0.71,35.87,-2.43,-34.65,3613
-1.80,-10.04,-2.95,1.72,-0.67,-0.21,36.04,-2.15,-35.44,3647
-1.00,-9.70,-1.44,2.37,-1.35,0.05,35.49,-2.24,-37.09,3681
