ax,ay,az,gx,gy,gz,mx,my,mz,timestamp
1.74,-9.62,-1.65,0.12,-0.01,-0.13,-67.41,35.49,37.61,34179
1.39,-9.65,-1.63,0.18,-0.01,-0.15,-67.63,35.43,37.23,34213
1.53,-9.28,-1.48,0.19,-0.02,-0.08,-67.76,35.21,37.64,34248
2.03,-9.21,-1.40,-0.07,0.11,0.07,-67.82,35.49,36.88,34282
3.14,-8.54,-1.86,-0.43,0.21,0.22,-67.22,35.14,36.89,34316
5.18,-7.32,-0.41,-2.41,0.70,-0.22,-67.68,32.04,38.29,34350
-1.27,-9.07,-4.84,-3.57,1.22,0.33,-70.42,23.09,39.65,34384
2.93,-8.12,-5.10,-2.33,0.89,0.01,-73.06,18.94,39.18,34418
1.72,-8.03,-5.67,-1.69,1.67,0.32,-75.59,16.00,35.74,34453
1.19,-7.97,-5.10,-1.62,1.82,0.37,-79.14,14.09,31.54,34487
0.50,-7.55,-6.22,-1.30,1.76,0.44,-81.44,12.79,27.48,34521
-0.42,-9.75,-4.26,-0.80,0.82,0.07,-83.48,12.19,24.33,34555
1.35,-9.24,-4.23,-0.38,0.41,-0.43,-84.67,10.41,22.79,34589
0.40,-10.15,-4.18,-0.23,0.38,-0.26,-85.56,9.47,21.56,34624
0.37,-7.87,-4.93,-0.11,0.47,0.11,-86.10,9.59,20.39,34658
1.00,-8.88,-4.81,-0.20,0.62,0.50,-86.76,10.79,19.29,34692
0.56,-8.81,-5.47,-0.34,0.31,0.30,-86.96,11.96,18.58,34726
1.06,-8.91,-5.66,-0.23,0.24,0.72,-86.95,14.62,18.58,34760
2.32,-7.06,-6.20,-0.06,-0.10,0.46,-86.52,17.14,18.82,34794
3.43,-5.53,-8.07,0.22,0.08,0.20,-85.98,18.72,19.96,34829
4.07,-6.22,-6.90,0.12,0.23,-0.01,-86.17,19.34,19.31,34863
4.07,-6.43,-5.54,0.16,0.28,-0.24,-86.55,19.67,18.65,34897
4.81,-6.71,-4.93,0.16,0.30,-0.35,-86.69,19.20,18.58,34931
4.53,-6.40,-5.05,0.13,0.37,-0.51,-87.17,18.34,16.91,34965
3.74,-7.04,-5.71,0.12,0.43,-0.54,-87.96,16.97,15.54,35000
3.08,-7.77,-4.88,0.15,0.52,-0.52,-89.49,15.71,14.51,35034
2.90,-8.01,-5.13,0.23,0.60,-0.51,-89.94,14.72,12.20,35068
2.36,-9.19,-5.49,0.16,0.59,-0.16,-90.53,14.51,9.76,35102
1.13,-7.82,-5.91,0.17,0.62,-0.38,-91.38,13.46,8.51,35136
-0.56,-8.41,-7.68,0.10,0.90,-0.49,-91.64,12.99,6.07,35170
-4.30,-9.07,-13.44,-0.53,1.48,-0.11,-92.60,12.16,2.24,35205
-2.11,-13.39,-10.39,-0.46,1.46,0.15,-92.68,13.01,-0.99,35239
-1.31,-11.19,-11.24,-0.06,2.79,1.21,-92.40,17.63,-7.40,35273
14.84,2.96,-6.75,-0.10,3.46,-0.16,-90.95,20.71,-14.62,35307
-3.15,-9.57,-7.23,0.33,-0.20,-1.13,-89.58,17.96,-12.82,35341
0.64,-3.55,-5.14,0.79,-3.30,-3.74,-88.51,6.42,0.31,35375
5.96,-1.39,-4.13,0.68,-3.96,-2.98,-83.37,-2.06,14.09,35410
5.52,-1.42,-5.02,0.35,-2.97,-1.00,-76.10,-5.26,29.29,35444
5.45,-2.57,-3.99,-0.15,-1.67,1.16,-68.59,-3.43,32.78,35478
2.75,-4.84,-3.14,-0.61,-1.52,1.88,-62.55,-0.77,37.14,35512
3.11,-6.02,-3.89,-0.98,-2.63,1.20,-53.10,-0.03,43.42,35546
4.86,-6.00,-6.39,-1.15,-3.25,0.81,-42.40,-2.50,47.57,35581
6.99,-5.53,-7.69,-1.40,-2.52,1.31,-32.83,-4.98,51.01,35615
9.13,-7.59,-6.61,-2.44,-0.30,2.69,-27.57,-9.38,50.82,35649
13.91,6.38,-10.76,-2.09,1.14,2.76,-28.11,-12.99,47.31,35683
-2.54,-21.41,-4.09,-2.35,2.80,3.69,-36.85,-16.25,41.49,35717
6.94,-20.17,-2.55,0.17,0.10,-0.80,-34.68,-17.36,40.31,35751
3.64,-1.75,-5.64,0.14,0.30,-0.59,-34.58,-17.77,39.39,35786
-0.21,-8.26,-10.18,-1.10,-0.30,1.23,-33.94,-18.59,39.77,35820
3.00,-5.07,-8.72,0.07,0.35,0.42,-34.17,-17.98,39.45,35854
2.79,-4.29,-9.46,0.61,0.40,0.56,-34.84,-16.27,39.43,35888
0.75,-3.07,-8.55,1.06,0.42,1.28,-35.36,-12.44,39.11,35922
2.36,-3.26,-8.14,1.25,0.27,0.96,-35.38,-10.00,38.63,35957
3.49,-2.54,-7.69,1.13,0.37,0.50,-36.22,-7.15,38.18,35991
2.56,-3.78,-7.35,0.67,0.63,0.22,-36.29,-5.39,37.47,36025
0.77,-4.68,-7.93,0.34,0.80,-0.04,-37.28,-4.40,36.10,36059
0.09,-5.12,-8.29,0.23,0.94,-0.14,-38.53,-4.33,34.05,36093
-0.14,-3.80,-8.78,0.12,1.91,0.92,-41.27,-3.22,32.65,36127
-1.86,-12.36,-6.04,-0.18,1.49,0.53,-43.28,-1.78,28.92,36162
0.12,-8.77,-13.59,0.60,2.02,-0.14,-45.41,-1.01,26.00,36196
4.43,-11.08,-16.99,0.58,2.00,0.44,-47.22,0.20,22.61,36230
1.02,-4.28,-18.20,-0.73,2.69,1.42,-48.09,2.63,18.96,36264
12.94,0.36,-3.32,2.08,2.37,1.19,-49.02,5.61,13.33,36298
0.93,-4.43,-7.39,-1.38,0.45,-2.44,-47.59,2.37,12.01,36333
-0.38,-3.10,-1.95,1.40,-0.85,-3.80,-44.46,-4.53,12.38,36367
3.59,0.17,-3.50,0.70,-1.48,-3.09,-40.18,-8.97,14.54,36401
6.32,-1.81,-4.29,-0.16,-1.20,-1.55,-36.19,-12.42,16.56,36435
6.22,-3.50,-4.69,-0.08,-1.17,-1.26,-31.57,-13.86,16.91,36469
4.75,-5.09,-4.74,-0.02,-1.52,-1.62,-27.55,-15.23,17.11,36503
7.50,-3.64,-5.02,0.14,-1.79,-1.98,-21.86,-17.26,17.74,36538
7.69,-3.25,-6.09,-0.08,-1.49,-1.97,-17.11,-18.68,18.36,36572
6.96,-2.94,-5.25,0.10,-1.10,-1.72,-13.53,-19.57,17.99,36606
7.48,-2.73,-5.18,-0.03,-1.09,-1.66,-10.41,-20.27,17.38,36640
6.94,-2.28,-5.96,-0.32,-0.76,-1.21,-6.99,-20.80,16.84,36674
7.31,-2.59,-6.41,-0.52,-0.45,-0.62,-5.04,-21.28,15.68,36708
6.16,-2.91,-6.59,-0.55,-0.17,-0.05,-3.73,-21.89,14.91,36743
5.90,-1.69,-7.51,-0.76,0.28,0.56,-3.30,-22.43,14.62,36777
7.56,-4.11,-5.69,-1.09,1.29,1.56,-4.22,-23.56,13.96,36811
9.06,2.19,-13.04,-1.12,1.62,1.00,-5.58,-24.54,13.17,36845
3.08,-3.33,-5.30,0.17,0.50,1.83,-7.07,-24.50,11.84,36879
2.19,-6.26,-10.01,-0.51,0.53,1.37,-7.67,-24.80,12.42,36914
1.51,-7.07,-9.06,0.89,0.16,0.13,-7.79,-24.31,13.34,36948
4.62,-3.68,-7.10,2.10,-0.21,-1.95,-6.83,-22.95,15.77,36982
2.81,-2.46,-9.75,2.73,-0.63,-2.64,-4.71,-20.48,18.44,37016
3.17,1.63,-10.54,3.38,-1.30,-3.45,-1.20,-16.98,20.17,37050
0.49,2.96,-10.81,3.27,-2.00,-3.20,2.81,-11.21,22.45,37084
0.97,-1.51,-10.09,3.09,-2.52,-3.27,6.68,-5.63,22.04,37119
1.68,-0.55,-11.78,2.91,-2.20,-4.20,10.48,1.80,20.43,37153
2.73,4.02,-13.61,3.04,-1.89,-4.53,12.06,8.10,17.51,37187
3.07,8.91,-11.25,2.10,-1.43,-3.97,11.53,13.72,13.72,37221
2.11,5.92,-9.15,1.41,-1.13,-3.06,10.04,17.41,9.70,37255
3.39,1.18,-8.67,1.34,-1.43,-2.79,8.93,19.29,6.75,37290
3.44,1.12,-7.37,1.42,-1.56,-3.14,7.79,21.28,3.68,37324
4.01,0.41,-10.13,1.41,-1.67,-3.21,5.80,22.90,-0.80,37358
4.49,1.86,-10.45,1.34,-1.42,-3.41,3.55,23.79,-3.68,37392
5.68,3.88,-9.64,1.33,-0.93,-3.92,-0.89,23.97,-6.33,37426
5.93,4.45,-9.52,1.27,-0.32,-4.10,-4.69,23.76,-9.44,37460
6.71,3.75,-6.31,1.14,-0.24,-3.85,-8.49,22.29,-10.80,37495
4.54,-0.70,-6.82,1.05,-0.67,-3.15,-11.93,21.02,-12.83,37529
4.03,-6.08,-8.86,1.33,-0.92,-3.84,-14.73,19.94,-14.43,37563
3.03,-5.21,-8.51,2.01,-0.90,-4.85,-17.55,17.09,-15.86,37597
2.36,0.25,-8.38,2.41,-1.12,-5.06,-21.78,13.36,-19.04,37631
2.81,1.42,-10.94,2.19,-1.20,-4.76,-24.63,9.32,-19.95,37666
1.57,2.68,-12.32,2.36,-0.71,-5.66,-26.82,3.41,-20.94,37700
1.97,4.95,-5.41,2.64,-0.17,-5.83,-28.31,-3.65,-21.95,37734
3.23,-0.88,-8.14,2.43,-0.49,-5.38,-28.19,-8.92,-23.03,37768
5.07,-0.79,-10.23,2.32,-0.12,-5.30,-27.45,-15.68,-22.03,37802
4.04,1.62,-5.26,2.24,0.28,-4.87,-25.50,-20.48,-22.43,37836
3.53,-0.49,-8.09,2.12,0.16,-4.57,-22.99,-25.53,-21.97,37871
4.05,-2.22,-9.08,2.22,0.16,-4.25,-19.66,-28.53,-20.97,37905
2.53,-1.94,-7.35,2.28,0.23,-4.07,-15.96,-31.22,-19.06,37939
0.76,-1.86,-8.26,2.28,0.13,-3.72,-12.26,-33.65,-18.21,37973
-0.17,-2.64,-12.09,2.26,-0.05,-2.98,-9.89,-34.52,-14.91,38007
1.18,-2.44,-11.18,2.35,0.03,-2.90,-7.59,-35.72,-13.55,38041
1.78,-4.16,-10.57,2.90,-0.07,-3.37,-4.37,-35.57,-10.23,38076
0.26,-2.90,-13.77,4.16,-0.22,-4.88,-0.60,-35.06,-6.08,38110
2.57,-0.30,-15.99,5.10,-0.54,-5.94,5.58,-32.17,0.61,38144
-2.26,4.38,-15.50,5.62,-0.95,-6.21,10.77,-27.11,5.01,38178
-4.15,6.14,-8.56,5.79,-1.79,-7.18,15.16,-19.22,8.14,38212
-2.56,2.10,-11.23,4.49,-2.45,-7.29,21.18,-8.93,7.61,38247
-4.77,2.43,-12.38,3.54,-2.14,-5.40,23.43,-0.88,4.62,38281
2.32,5.97,-10.53,2.33,-2.33,-2.97,24.66,4.82,0.95,38315
8.50,0.14,-5.28,1.21,-1.33,-2.23,25.40,9.24,-2.67,38349
7.38,-0.62,-7.56,1.10,-1.09,-2.28,25.40,11.71,-6.59,38383
0.46,-2.44,-7.94,1.44,-1.29,-2.87,24.03,15.86,-10.68,38417
0.61,0.20,-13.55,1.11,-1.61,-2.06,23.33,17.99,-14.32,38452
-1.07,2.25,-14.40,1.28,-1.39,-2.44,21.97,19.56,-19.06,38486
2.73,2.64,-8.44,0.99,-0.84,-2.05,20.30,20.74,-24.33,38520
1.38,-3.08,-9.69,1.34,-2.09,-1.71,18.84,20.78,-29.44,38554
3.07,3.15,-11.02,1.09,-1.31,-2.43,16.87,19.88,-36.31,38588
2.27,2.92,-11.05,1.35,-1.60,-2.75,13.29,18.82,-41.19,38623
5.70,-0.73,-10.45,0.67,-1.23,-2.05,10.23,17.83,-44.43,38657
-0.49,3.40,-12.96,0.90,-0.43,-3.14,7.03,15.39,-47.57,38691
6.06,4.45,-8.06,1.50,-0.58,-4.45,3.58,13.02,-50.89,38725
7.09,-2.50,-15.99,1.24,0.43,-5.16,0.58,11.08,-53.20,38759
0.03,6.73,-8.05,1.66,1.42,-5.90,-0.77,6.94,-55.19,38793
3.04,-0.87,-10.29,1.96,0.15,-4.29,-1.75,3.61,-55.96,38828
0.40,3.05,-9.28,3.60,0.15,-6.52,-2.84,-2.29,-57.22,38862
2.62,7.98,-1.97,3.26,-0.14,-6.52,-2.91,-7.40,-57.64,38896
4.95,-3.96,-11.49,3.74,-0.21,-5.85,-2.88,-11.87,-57.73,38930
1.82,1.55,-10.20,4.30,-0.33,-6.19,-0.45,-18.20,-56.61,38964
2.01,1.17,-10.33,3.84,-0.53,-5.07,0.53,-22.83,-54.41,38999
1.40,0.76,-12.15,4.15,-0.77,-4.90,2.02,-26.56,-52.47,39033
-0.37,3.41,-13.41,5.08,-1.08,-5.37,3.51,-32.37,-47.62,39067
-1.76,1.58,-15.53,6.05,-1.59,-5.89,5.42,-36.80,-42.50,39101
-1.76,4.63,-16.39,7.25,-2.29,-7.15,9.38,-40.81,-32.37,39135
-1.52,5.61,-13.90,7.15,-2.36,-7.04,14.82,-41.82,-24.09,39169
-0.20,4.15,-12.47,6.26,-2.59,-6.98,20.89,-38.28,-17.36,39204
0.80,4.89,-14.90,5.42,-2.42,-6.45,27.99,-32.32,-11.37,39238
3.86,5.59,-12.25,4.74,-2.32,-5.54,32.94,-25.12,-9.54,39272
-1.00,3.35,-11.67,3.65,-2.21,-4.10,36.60,-18.33,-11.15,39306
-0.06,1.89,-11.23,3.63,-2.43,-3.72,39.17,-10.77,-14.29,39340
0.17,3.37,-10.46,3.24,-2.41,-3.75,40.03,-4.74,-20.20,39375
4.37,1.58,-12.35,2.76,-2.65,-3.69,39.16,1.20,-28.06,39409
3.51,4.17,-12.42,2.56,-1.72,-3.90,36.73,5.10,-34.70,39443
5.18,6.36,-11.18,2.22,-1.13,-4.44,33.43,8.59,-39.92,39477
6.26,6.42,-9.73,1.95,-0.65,-4.42,28.27,10.84,-45.53,39511
7.31,4.27,-9.08,1.73,-0.70,-4.22,24.09,11.75,-49.87,39545
2.90,0.42,-11.81,1.63,-0.93,-3.26,20.94,10.67,-53.04,39580
-6.22,-1.28,-8.55,1.23,-1.22,-2.15,17.10,9.56,-56.72,39614
-4.31,-7.26,-10.49,1.46,-1.80,-2.96,12.85,7.09,-59.08,39648
4.56,-1.40,-6.08,1.58,-2.40,-2.27,7.70,2.32,-62.64,39682
5.68,-0.23,-6.58,0.76,-2.46,-0.31,2.75,-2.16,-64.16,39716
3.50,4.23,-11.81,0.16,-2.05,0.35,-0.26,-4.82,-64.34,39750
4.37,2.05,-12.22,0.22,-0.51,-1.08,-1.83,-7.48,-64.73,39785
8.25,2.63,-11.52,0.61,0.07,-2.93,-1.39,-11.14,-65.49,39819
12.43,3.81,-8.98,1.51,1.15,-5.48,1.11,-14.98,-65.46,39853
6.77,0.54,-6.60,0.92,0.65,-3.46,3.95,-17.22,-65.23,39887
-2.97,-1.73,-9.05,0.64,0.05,-1.98,5.38,-18.71,-65.11,39921
0.10,-7.43,-8.59,0.82,-0.85,-1.74,6.37,-20.68,-64.63,39956
0.94,-4.87,-11.88,1.72,-1.48,-3.47,6.30,-23.53,-64.29,39990
2.66,2.67,-9.95,2.59,-1.24,-4.66,7.54,-27.42,-63.36,40024
6.18,6.12,-9.31,1.82,-0.84,-3.85,10.44,-30.14,-61.63,40058
4.43,1.04,-10.76,1.55,-0.49,-3.38,12.85,-31.67,-60.68,40092
4.69,0.88,-5.47,1.70,-0.28,-3.92,16.72,-32.71,-59.40,40126
3.20,-2.48,-10.24,1.90,-0.58,-4.01,19.66,-32.55,-59.18,40161
4.31,0.30,-9.31,2.44,-0.33,-4.84,23.03,-32.58,-57.28,40195
3.07,3.29,-7.98,2.10,-0.12,-4.06,26.47,-31.60,-55.38,40229
3.32,-1.53,-10.99,2.10,0.12,-3.46,28.62,-31.01,-54.79,40263
2.58,2.03,-6.00,2.22,0.18,-3.72,31.19,-30.20,-52.60,40297
4.88,-3.07,-9.75,2.43,-0.39,-3.14,33.34,-29.38,-51.65,40332
4.56,-0.29,-5.83,2.96,-0.17,-3.75,34.51,-28.90,-50.76,40366
2.04,-1.16,-8.77,2.71,-0.40,-3.20,35.85,-27.87,-49.11,40400
3.85,-4.79,-8.18,3.12,-0.39,-3.62,37.17,-26.69,-47.78,40434
0.06,-1.74,-10.76,3.29,-0.38,-3.71,38.02,-26.22,-46.96,40468
-4.17,-3.07,-16.78,3.87,-0.90,-3.78,38.13,-26.03,-45.38,40502
-0.68,0.40,-15.80,5.27,-1.15,-4.61,38.25,-25.91,-43.42,40537
-1.71,0.47,-20.96,6.14,-1.69,-4.93,39.40,-25.84,-39.37,40571
-3.35,2.59,-22.52,7.14,-2.67,-5.65,40.16,-24.03,-36.83,40605
-4.71,13.38,-17.52,7.23,-2.73,-7.82,41.90,-18.23,-34.89,40639
0.58,12.17,-18.76,5.71,-3.58,-7.64,42.46,-7.45,-39.90,40673
