ax,ay,az,gx,gy,gz,mx,my,mz,timestamp
-2.60,8.93,-3.96,0.16,0.31,-0.20,31.83,4.38,-28.15,17235
-1.77,8.81,-4.17,0.31,0.23,-0.35,31.57,4.69,-27.97,17269
-0.30,9.43,-2.10,0.18,0.18,-0.22,31.28,4.44,-27.86,17303
-1.18,9.36,-1.86,0.21,0.29,-0.21,31.18,4.94,-27.54,17337
-2.41,9.83,-2.69,0.11,0.18,-0.11,31.72,4.50,-27.49,17372
-2.73,9.32,-3.21,-0.40,0.02,0.21,32.27,3.80,-26.88,17406
-1.01,8.87,-3.22,-0.57,-0.22,0.48,32.72,3.10,-27.01,17440
-1.22,9.47,-3.74,-0.13,-0.18,0.45,32.72,2.50,-27.92,17474
-0.93,9.29,-1.28,0.01,-0.39,0.37,32.26,2.44,-27.46,17508
-2.19,9.74,-1.69,-0.07,-0.13,0.33,32.78,2.08,-28.41,17542
-2.64,9.32,-4.00,-0.09,-0.10,0.30,33.22,1.49,-27.84,17577
-2.51,9.01,-4.31,0.06,-0.23,0.14,33.35,1.23,-27.62,17611
-3.70,9.49,-5.02,0.29,-0.43,-0.16,33.13,1.67,-28.52,17645
-3.44,7.91,-4.84,0.71,-0.38,-0.68,33.48,1.65,-29.76,17679
-2.80,9.89,-6.38,1.20,-0.96,-0.78,32.80,1.94,-31.51,17713
-3.81,11.38,-2.94,1.57,-1.86,-0.78,31.82,2.25,-34.54,17748
0.24,13.80,-3.92,1.84,-2.76,-0.15,30.49,2.18,-37.49,17782
-3.01,11.86,-6.80,1.49,-2.47,-0.12,28.49,1.45,-40.88,17816
0.78,9.76,-5.22,1.67,-2.74,0.07,26.24,-0.35,-44.29,17850
-1.19,4.82,-1.64,1.45,-2.58,0.12,23.66,-1.97,-47.31,17884
3.22,6.15,-2.59,1.63,-2.33,0.50,21.75,-4.22,-49.99,17918
5.19,7.40,0.32,0.83,-0.34,0.39,21.24,-5.48,-50.57,17953
1.69,6.78,-1.50,0.27,2.13,0.28,23.49,-6.37,-48.76,17987
-1.41,8.81,-2.92,-0.32,2.78,0.44,26.70,-6.64,-46.81,18021
-1.83,9.31,-4.28,-0.79,2.71,0.40,29.77,-6.43,-43.63,18055
-8.58,6.98,-11.90,-0.92,2.49,0.00,32.34,-6.56,-40.34,18089
-3.70,6.00,-8.22,-0.86,0.47,-1.98,33.18,-5.95,-39.80,18124
-6.68,3.60,-1.85,0.43,0.94,-1.93,34.14,-4.03,-38.70,18158
-1.51,12.84,-3.20,0.27,-0.01,-0.03,34.13,-3.95,-38.63,18192
-3.87,6.86,-3.33,0.14,0.14,0.38,33.91,-4.95,-38.38,18226
-5.39,8.03,-3.70,0.23,-0.13,0.40,33.84,-5.52,-38.54,18260
-2.90,8.02,-5.84,0.39,-0.80,0.34,33.06,-6.07,-40.00,18294
-2.93,7.49,-6.04,0.64,-0.91,0.31,32.04,-6.61,-41.54,18329
-2.91,7.55,-5.77,0.45,-0.97,0.49,31.06,-7.50,-43.86,18363
-4.42,6.83,-4.16,0.45,-1.04,0.26,29.89,-7.44,-45.37,18397
-4.65,6.60,-4.43,0.41,-1.12,0.16,28.76,-7.63,-46.19,18431
-3.20,8.50,-4.52,0.38,-0.94,0.27,27.84,-7.00,-46.93,18465
-3.66,8.57,-4.36,0.45,-0.75,0.48,27.01,-8.05,-47.92,18500
-4.24,8.38,-5.66,0.27,-0.88,0.81,27.02,-8.89,-49.15,18534
-2.69,9.08,-5.08,0.07,-1.14,1.11,25.84,-9.16,-49.91,18568
-4.18,8.96,-2.92,-0.10,-1.30,1.26,24.51,-10.06,-51.72,18602
1.43,6.98,-3.41,-0.34,-1.35,1.36,23.49,-10.76,-52.19,18636
0.11,8.37,-5.19,-0.40,-1.29,1.58,22.26,-11.69,-53.65,18670
1.97,7.03,-3.70,-0.38,-1.34,1.33,20.90,-12.15,-55.88,18705
-0.19,7.76,-3.04,-0.23,-0.88,0.32,19.72,-12.34,-55.96,18739
0.19,8.32,-4.31,-0.38,-0.57,-0.16,19.67,-12.15,-56.85,18773
-0.81,8.56,-4.14,-0.42,-0.19,-0.45,20.04,-11.46,-55.95,18807
-1.17,8.37,-4.49,-0.46,-0.13,-0.83,20.49,-10.55,-57.13,18841
-2.32,8.04,-6.15,-0.46,0.01,-1.14,20.84,-9.18,-56.91,18875
-1.37,8.68,-5.01,-0.44,0.35,-1.22,21.59,-8.05,-56.43,18910
-0.26,5.91,-4.89,-0.45,0.56,-1.58,22.98,-6.45,-55.41,18944
-3.17,6.14,-6.35,-0.39,0.23,-1.33,23.40,-4.47,-54.95,18978
-2.07,7.63,-4.52,-0.32,-0.18,-1.19,23.65,-2.89,-54.59,19012
-2.21,8.49,-3.14,-0.21,-0.25,-1.04,24.04,-2.41,-55.31,19046
-4.10,9.18,-1.60,-0.43,-0.38,-0.76,24.01,-0.99,-55.22,19081
-3.39,9.28,-0.65,-0.66,-0.79,-0.44,22.60,0.20,-55.74,19115
-0.55,10.15,-1.74,-0.75,-1.34,-0.22,21.44,1.68,-55.96,19149
2.05,12.43,-4.29,-1.02,-1.86,0.20,19.03,3.00,-56.46,19183
1.28,18.33,-2.69,-1.37,-1.40,0.58,16.57,4.09,-57.51,19217
-1.67,15.58,-8.15,-1.72,-1.81,0.63,15.04,5.35,-57.00,19251
-3.05,10.34,-12.47,-2.19,-2.29,-0.55,11.85,8.11,-58.29,19286
-3.44,10.83,-11.49,0.30,-0.73,-2.82,10.10,8.24,-58.86,19320
-0.81,7.18,-6.39,-0.33,1.34,-3.40,10.01,9.84,-58.52,19354
-2.11,3.54,-5.45,-0.68,2.98,-2.70,12.64,11.59,-56.59,19388
-5.66,1.13,-6.05,-0.28,3.05,-1.63,15.96,12.39,-54.14,19422
-6.81,1.78,-5.54,-0.19,2.41,-0.79,19.63,13.05,-51.58,19457
