ax,ay,az,gx,gy,gz,mx,my,mz,timestamp
-1.13,-9.97,0.83,0.09,0.09,-0.06,-25.68,75.26,33.22,23011
-1.31,-9.76,1.03,0.16,0.10,-0.19,-26.35,75.62,32.64,23045
-1.15,-9.83,1.20,-0.08,0.09,-0.07,-26.62,75.31,33.18,23080
0.01,-10.00,1.64,-0.06,0.10,0.01,-26.60,74.79,33.29,23114
0.79,-10.25,0.71,-0.36,0.24,-0.13,-26.54,74.22,33.44,23148
-0.89,-9.57,-0.90,-0.31,0.24,-0.65,-27.21,72.27,34.17,23182
-2.29,-10.25,-0.99,-0.47,0.33,-1.04,-30.68,70.27,35.11,23216
-1.80,-9.69,-0.83,-0.16,0.45,-0.83,-33.76,69.06,34.96,23250
-0.41,-9.94,0.23,-0.13,0.39,-0.73,-36.44,68.17,34.95,23285
0.48,-10.34,0.19,-0.13,0.66,-0.89,-39.58,66.97,34.73,23319
1.49,-9.58,-0.94,0.04,0.93,-1.39,-43.93,64.83,33.25,23353
3.64,-9.60,-3.69,-0.05,1.46,-1.87,-51.13,61.77,31.45,23387
-4.19,-14.80,0.28,-0.67,3.78,-1.48,-59.22,58.02,25.14,23421
1.29,-6.79,-1.64,-0.01,1.99,-1.67,-65.93,53.55,20.64,23456
-1.67,-15.32,-3.28,-0.45,2.57,-1.15,-70.51,49.69,16.21,23490
-1.37,-17.53,-0.59,-0.81,2.51,-0.41,-72.16,47.57,12.23,23524
3.41,-9.29,2.56,-0.48,2.25,-0.94,-73.47,43.06,6.26,23558
-5.42,-10.52,-2.59,-0.63,-3.47,-1.96,-73.52,37.59,11.91,23592
0.86,-5.93,-3.71,-0.41,-5.20,-2.30,-69.00,31.64,24.88,23626
1.65,-4.44,-3.46,-1.27,-2.51,-0.22,-61.12,27.54,34.05,23661
-1.34,-4.85,-1.47,-1.89,0.98,1.84,-57.60,26.76,36.51,23695
-3.47,-6.54,1.16,-1.99,1.51,2.70,-55.79,27.86,36.38,23729
-0.99,-10.09,1.22,-1.87,0.39,2.89,-50.82,29.89,38.53,23763
0.26,-12.96,-0.01,-1.19,-0.45,2.50,-45.19,30.82,41.58,23797
2.42,-12.53,-1.58,-0.63,0.11,1.80,-38.21,31.20,44.31,23832
38.48,12.20,-22.05,-1.12,1.89,0.50,-37.27,30.80,43.06,23866
-2.49,-12.12,-3.50,-2.47,2.40,-0.02,-42.79,29.70,38.07,23900
3.27,-17.50,2.59,-0.06,0.74,0.13,-43.96,29.52,37.37,23934
3.51,-8.93,1.05,0.32,-1.24,-1.48,-43.03,29.41,38.16,23968
0.76,-5.00,-10.17,-0.60,0.73,-0.50,-43.39,27.89,38.54,24002
3.87,-9.75,-1.79,-0.89,1.19,-0.12,-44.48,25.91,38.31,24037
2.61,-9.05,-4.21,-0.49,0.62,-0.56,-45.69,24.23,37.64,24071
2.82,-7.63,-6.34,0.19,0.70,-0.49,-47.54,24.07,37.07,24105
3.01,-8.79,-4.49,0.02,1.21,0.28,-48.57,24.48,35.02,24139
1.33,-10.23,-2.97,0.19,1.28,0.55,-49.40,25.56,33.22,24173
1.24,-10.06,-3.39,0.44,1.12,0.62,-50.75,27.36,30.23,24208
0.77,-8.83,-4.30,0.54,1.35,0.98,-51.21,29.63,27.40,24242
0.65,-8.92,-3.37,0.46,1.48,1.19,-51.33,33.22,22.98,24276
1.64,-8.96,-2.44,0.36,1.19,0.98,-50.28,34.68,20.64,24310
2.29,-7.72,-4.62,0.53,1.16,0.64,-50.60,36.83,18.40,24344
-0.42,-6.54,-5.73,0.08,1.90,0.80,-50.72,38.57,15.61,24378
0.94,-8.49,-1.50,-0.11,1.59,0.53,-50.79,38.67,12.96,24413
5.70,-8.08,-2.48,0.16,0.72,-0.43,-50.75,38.40,11.21,24447
-0.39,-10.58,-1.07,0.35,1.67,-0.09,-52.15,38.29,7.99,24481
-1.09,-10.56,-2.20,0.42,1.22,-0.16,-52.82,38.03,5.77,24515
-1.08,-11.05,-1.87,0.47,1.08,-0.26,-53.29,38.26,3.84,24549
-4.07,-12.67,-3.25,0.97,1.28,-0.32,-53.96,38.23,1.18,24583
-12.85,-15.34,-8.52,1.10,2.31,-0.14,-54.41,39.20,-4.97,24618
-10.49,-26.65,-14.53,0.53,2.21,0.02,-53.76,38.19,-10.99,24652
14.09,-5.39,-0.98,4.42,1.80,-3.01,-55.04,34.48,-17.71,24686
1.11,-2.67,-4.06,1.66,-1.25,-1.34,-56.96,26.53,-16.28,24720
3.43,-2.08,-0.31,1.60,-4.66,-4.12,-55.47,19.45,-8.92,24754
5.73,0.57,-2.61,1.06,-6.07,-1.91,-51.04,15.21,1.48,24789
9.01,-4.03,0.59,0.59,-5.12,-0.82,-42.71,13.15,11.72,24823
3.70,-6.12,2.40,-0.00,-4.16,-0.09,-36.17,12.39,16.50,24857
5.80,-6.41,0.77,-0.48,-4.26,-0.46,-27.90,11.25,20.59,24891
14.80,-5.11,-5.74,-0.28,-3.18,-0.68,-19.76,8.36,23.22,24925
-0.47,-8.93,7.08,1.40,3.58,1.60,-21.70,8.37,19.63,24959
7.81,-8.48,5.61,0.23,0.76,-0.91,-22.46,7.88,18.12,24994
5.19,-6.52,4.67,1.17,1.52,0.24,-22.48,8.05,16.72,25028
8.69,-9.96,3.71,1.69,-0.23,-0.13,-21.98,9.89,15.95,25062
4.53,-10.21,-0.11,1.33,-0.30,0.10,-20.64,11.55,15.46,25096
6.41,-9.05,-2.48,1.40,-0.75,-0.01,-19.03,12.95,15.99,25130
4.33,-8.38,-3.81,1.87,-1.45,0.02,-17.16,15.16,16.81,25165
5.29,-11.44,-7.06,2.31,-2.37,-0.28,-14.48,18.56,16.44,25199
0.95,-9.59,-8.34,3.01,-3.39,-0.23,-9.72,22.49,14.79,25233
6.28,-10.84,-8.04,2.91,-3.15,0.33,-4.12,26.79,11.91,25267
-8.06,-13.19,-3.87,2.65,-3.20,1.19,1.42,29.93,8.14,25301
5.98,-9.23,-8.20,3.17,-5.01,0.23,6.12,32.21,1.51,25335
7.88,-7.77,-9.91,2.40,-4.14,0.25,10.36,32.97,-6.65,25370
0.07,-5.34,-8.04,1.41,-3.14,0.40,13.02,32.55,-12.58,25404
6.32,-10.89,-7.54,1.17,-2.67,0.44,14.66,30.62,-18.04,25438
5.32,-10.08,-7.79,1.37,-3.29,0.17,15.02,28.40,-24.03,25472
6.11,-4.49,-10.50,1.54,-4.18,-0.87,13.43,25.99,-28.65,25506
7.68,-7.93,-12.76,1.46,-3.63,-1.18,10.64,22.80,-33.59,25541
4.94,-5.85,-10.68,1.56,-3.69,-1.77,7.03,20.45,-36.23,25575
4.46,-5.84,-5.10,1.40,-3.01,-1.07,3.99,18.23,-41.01,25609
3.45,-12.11,-1.64,1.83,-4.09,-1.49,0.86,15.01,-39.61,25643
2.97,-7.07,-6.96,2.49,-5.43,-2.25,-4.18,11.78,-41.19,25677
6.52,-6.02,-11.27,3.04,-5.87,-2.43,-10.30,6.87,-40.81,25711
7.00,-2.60,-9.28,3.38,-5.84,-2.89,-15.23,1.86,-40.38,25746
6.07,-5.15,-5.59,3.52,-5.73,-2.50,-18.90,-2.62,-38.03,25780
4.28,-6.01,-4.75,4.32,-6.67,-2.96,-22.81,-7.75,-32.65,25814
1.62,-9.60,-4.12,4.68,-6.70,-2.62,-25.14,-11.84,-27.19,25848
-0.97,-12.70,-6.11,5.35,-7.22,-2.64,-25.80,-15.90,-18.74,25882
-2.71,-9.07,-9.69,5.73,-7.00,-2.46,-24.44,-16.92,-10.99,25916
-2.50,-13.15,-9.45,6.14,-7.13,-2.45,-21.82,-17.13,-4.03,25951
-4.19,-12.10,-13.88,6.86,-7.75,-2.98,-16.85,-13.56,4.30,25985
-4.82,-11.10,-17.94,6.78,-7.61,-2.50,-11.63,-8.97,9.30,26019
-3.29,-11.56,-18.42,6.61,-7.68,-1.85,-5.01,-1.87,12.22,26053
-4.52,-10.15,-17.97,6.56,-8.82,-1.94,4.74,7.82,10.73,26087
