ax,ay,az,gx,gy,gz,mx,my,mz,timestamp
0.78,-9.96,0.83,0.20,0.01,-0.08,-20.11,131.01,-18.77,661404
1.42,-9.41,0.83,0.36,0.07,-0.07,-20.04,131.00,-19.64,661438
1.01,-10.03,1.31,0.31,0.22,0.00,-20.36,131.70,-22.20,661472
1.42,-8.89,1.97,-0.33,-0.03,-0.09,-20.74,130.58,-20.71,661506
0.83,-9.38,1.74,-1.18,-0.18,-0.08,-19.67,130.01,-15.39,661541
-0.35,-10.51,0.66,-0.40,-0.36,-0.23,-19.50,129.87,-7.89,661575
0.60,-11.19,0.46,-0.09,-0.25,-0.14,-20.40,130.08,-10.87,661609
1.06,-9.20,0.34,0.01,0.03,-0.08,-20.64,130.53,-10.20,661643
0.95,-9.75,0.47,-0.01,-0.00,-0.05,-20.51,129.93,-10.38,661677
1.40,-9.78,0.58,0.01,-0.05,-0.05,-20.75,130.08,-11.17,661711
1.26,-9.74,0.45,0.00,-0.01,-0.05,-20.72,129.89,-10.68,661746
1.20,-9.74,0.51,-0.00,-0.02,-0.05,-20.61,129.74,-10.08,661780
1.29,-9.81,0.54,-0.01,0.01,-0.04,-20.74,129.79,-10.74,661814
1.28,-9.78,0.47,-0.02,0.04,-0.03,-20.71,130.27,-10.22,661848
1.44,-9.74,0.50,-0.02,0.05,-0.02,-20.87,130.23,-10.16,661882
1.12,-9.77,0.53,-0.02,0.06,-0.03,-20.43,129.90,-10.55,661916
1.23,-9.74,0.48,-0.04,0.07,-0.03,-20.46,129.80,-9.79,661951
0.98,-9.83,0.58,-0.04,0.08,-0.04,-20.87,130.01,-9.59,661985
0.92,-9.87,0.66,-0.06,0.04,-0.07,-20.86,129.76,-8.90,662019
0.80,-9.82,0.66,-0.07,0.05,-0.07,-20.99,129.57,-8.90,662053
1.02,-9.84,0.59,-0.09,0.04,-0.07,-22.03,129.70,-8.51,662087
1.04,-9.69,0.27,-0.08,-0.00,-0.07,-21.41,130.02,-8.40,662122
1.42,-9.71,0.11,-0.08,0.00,-0.07,-21.72,129.76,-7.72,662156
1.19,-9.84,0.29,-0.08,0.05,-0.08,-22.05,130.34,-7.40,662190
0.84,-9.85,0.35,-0.05,-0.04,-0.08,-21.50,130.12,-7.79,662224
1.51,-9.65,0.22,-0.00,0.31,0.05,-21.16,130.42,-6.78,662258
1.50,-9.89,0.53,0.04,0.21,0.25,-20.27,130.81,-6.91,662292
2.12,-9.74,0.78,0.07,0.12,0.36,-18.23,131.28,-7.51,662327
2.79,-9.72,0.77,0.07,0.08,0.36,-16.41,131.25,-8.48,662361
2.27,-8.82,-0.53,-0.05,0.35,0.24,-15.30,131.51,-8.32,662395
0.36,-8.89,-1.45,-0.26,0.49,0.04,-15.27,130.72,-6.81,662429
0.41,-9.56,0.00,-0.30,0.62,-0.14,-16.34,130.09,-4.44,662463
-1.52,-10.93,1.19,-0.37,0.55,-0.19,-18.23,130.01,-2.72,662498
0.36,-9.86,0.88,-0.26,0.35,-0.23,-19.29,129.44,-1.36,662532
0.73,-10.09,-0.28,-0.32,0.28,-0.24,-20.58,129.38,-0.01,662566
