ax,ay,az,gx,gy,gz,mx,my,mz,timestamp
2.05,9.54,0.12,0.28,0.12,-0.12,45.03,-21.03,-15.24,48263
1.87,9.69,0.25,0.25,0.08,-0.18,44.88,-21.31,-15.20,48297
1.70,9.59,0.43,0.18,-0.05,-0.18,44.75,-20.68,-13.90,48332
1.07,9.88,0.19,0.18,-0.12,-0.22,45.02,-20.62,-14.48,48366
0.57,9.62,-0.17,0.25,-0.50,-0.42,45.76,-21.13,-14.69,48400
1.33,9.77,0.14,0.43,-1.13,-0.64,45.94,-19.83,-15.89,48434
2.99,10.64,-0.72,0.30,-1.39,-0.30,47.08,-19.41,-17.42,48468
2.08,8.55,0.37,-0.16,-0.47,-0.09,47.21,-19.56,-18.27,48502
2.57,8.83,-0.87,0.08,-0.38,-0.29,46.70,-18.81,-19.41,48537
2.21,9.32,-1.33,0.27,-0.49,-0.45,47.30,-18.59,-19.66,48571
2.35,9.40,-0.98,0.27,-0.26,-0.65,47.30,-17.41,-19.63,48605
1.59,9.55,-0.80,0.12,-0.20,-0.55,47.19,-17.10,-19.94,48639
1.29,9.75,-1.36,0.12,-0.48,-0.50,47.40,-16.60,-21.12,48673
0.32,9.49,-1.96,-0.00,0.55,-0.65,47.71,-15.90,-19.82,48708
-1.58,9.72,-1.37,0.01,0.29,-0.64,47.87,-14.70,-18.93,48742
-2.05,9.83,-0.10,-0.02,0.25,-0.69,47.95,-13.62,-18.58,48776
-1.21,10.03,1.40,-0.31,-0.25,-0.70,48.51,-12.19,-17.90,48810
1.23,10.51,-0.41,-0.59,-0.28,-0.87,48.67,-10.41,-19.22,48844
6.38,11.25,-4.46,-1.26,-0.76,-0.97,47.95,-7.75,-20.37,48878
7.79,16.12,-9.65,-0.06,-1.02,-0.90,47.84,-5.92,-20.80,48913
-3.41,18.78,-4.13,0.19,-3.05,-1.34,46.73,-3.33,-25.42,48947
4.50,15.10,-5.07,1.18,-1.65,-2.72,43.25,2.43,-30.11,48981
2.03,8.21,-2.90,1.50,0.53,-3.40,39.84,7.37,-30.82,49015
3.51,4.89,-0.70,1.93,1.91,-2.74,37.87,10.57,-30.44,49049
1.54,4.12,0.25,2.35,2.46,-1.25,36.50,12.04,-30.78,49083
1.33,4.94,0.84,2.17,1.84,0.15,36.74,10.55,-29.55,49118
1.01,6.70,2.55,1.67,0.63,1.80,38.31,7.44,-29.57,49152
1.55,8.43,6.00,1.02,0.89,2.62,40.00,3.42,-29.89,49186
-0.59,11.09,4.66,0.59,2.45,2.56,41.92,-1.40,-26.26,49220
-9.02,11.63,-2.76,-0.66,2.81,1.68,43.58,-5.39,-19.83,49254
-17.85,8.76,-7.11,-1.24,1.59,0.91,44.61,-7.88,-16.35,49289
-0.30,39.16,-15.52,0.20,-0.03,2.41,44.49,-10.80,-16.63,49323
-5.25,-3.77,10.45,0.03,-1.67,-0.26,43.99,-10.46,-17.67,49357
-1.70,9.41,-2.43,0.09,-0.38,-0.73,43.83,-10.86,-17.96,49391
