ax,ay,az,gx,gy,gz,mx,my,mz,timestamp
-1.12,9.60,-1.83,0.06,0.14,0.04,43.22,1.94,-34.30,13158
-1.09,9.40,-1.76,-0.06,0.27,-0.13,42.90,2.47,-34.29,13192
-1.46,9.41,-1.73,-0.06,0.20,-0.12,43.41,2.41,-34.62,13226
-1.23,9.29,-1.64,-0.03,0.01,-0.12,43.45,2.22,-34.55,13260
-3.21,9.54,-1.45,-0.08,-0.29,0.08,42.81,1.87,-34.96,13294
-1.08,10.11,-1.85,-0.04,-0.60,-0.33,42.78,2.57,-36.39,13329
0.36,2.67,-2.78,-0.96,-0.26,-1.57,41.71,4.18,-36.90,13363
0.16,10.37,-1.64,-0.19,0.04,0.01,42.27,4.12,-37.12,13397
-3.13,9.08,-1.33,-0.43,0.04,-0.32,41.99,4.71,-36.01,13431
-3.19,9.55,-2.53,-0.34,-0.15,-0.70,41.38,5.71,-36.28,13465
-0.33,9.66,-2.14,-0.10,-0.17,-0.85,41.06,7.38,-37.47,13500
-0.61,10.43,-1.77,-0.06,0.03,-0.68,39.83,8.26,-37.61,13534
-2.02,9.57,-2.35,-0.17,0.08,-0.50,39.99,9.06,-36.71,13568
-3.35,8.51,-2.32,-0.22,0.07,-0.50,39.96,9.49,-36.52,13602
-4.90,8.66,-1.33,-0.12,0.27,-0.40,39.58,9.98,-36.95,13636
-4.23,7.98,-3.15,-0.25,-0.07,-0.57,38.70,11.24,-37.04,13670
-3.50,8.77,-3.13,-0.11,-0.11,-0.45,37.97,12.23,-37.72,13705
-1.22,10.69,-4.40,-0.11,-0.53,-0.55,37.53,12.28,-37.94,13739
-1.69,12.30,0.95,0.02,-0.66,-0.79,36.44,13.37,-40.03,13773
5.51,16.65,-11.79,-0.40,-2.23,-2.12,33.09,15.42,-42.50,13807
1.35,22.78,-11.48,-0.26,-1.32,-2.12,30.08,16.75,-43.10,13841
-7.91,3.86,-3.07,0.14,-0.72,-2.21,27.05,16.46,-44.65,13875
-3.93,8.04,-7.17,-0.27,-0.33,-2.93,23.28,17.26,-45.48,13910
3.29,1.57,0.30,-1.26,3.87,-2.51,23.21,19.07,-42.33,13944
4.56,2.25,-0.23,-0.93,5.10,-0.83,26.51,19.18,-36.57,13978
-1.45,2.89,-0.73,-0.69,3.97,1.31,30.65,17.52,-31.77,14012
-2.76,6.86,1.62,-0.52,2.33,2.86,35.31,14.03,-26.94,14046
-3.43,7.75,1.29,-0.85,2.35,2.69,39.24,9.92,-22.52,14081
