ax,ay,az,gx,gy,gz,mx,my,mz,timestamp
0.24,9.60,-1.33,-0.06,0.16,-0.02,-11.75,-19.32,35.49,46625
-1.10,10.19,-2.27,-0.01,-0.32,-0.67,-9.53,-20.87,35.62,46758
-0.41,9.66,-1.95,-0.04,-1.16,-1.12,0.85,-20.14,36.58,46892
-1.91,9.28,-1.24,0.02,-0.03,-1.05,4.82,-18.63,35.09,47026
-3.01,9.16,-1.73,-0.18,0.15,-0.42,6.66,-17.55,35.68,47160
-5.98,7.86,-0.95,-0.11,0.01,-0.39,8.10,-17.09,34.90,47293
-3.58,10.00,-1.83,-0.15,-0.95,-0.79,10.65,-15.11,33.89,47427
-10.17,9.67,-3.57,0.31,-2.36,-0.20,19.96,-10.01,30.85,47561
-1.31,4.51,-2.16,-1.97,5.06,-1.52,6.94,-6.91,31.79,47695
-4.36,8.06,2.30,-1.14,3.95,2.09,-13.99,-11.60,25.59,47829
-17.89,-4.99,-4.97,0.02,-0.95,-2.15,-16.72,-18.43,21.08,47962
-5.11,8.83,-2.56,-0.05,-0.14,-0.43,-12.47,-23.40,23.15,48096
-2.74,8.15,-5.74,-0.41,0.17,0.14,-9.65,-30.37,22.24,48230
-1.86,8.19,-2.33,0.00,0.23,0.12,-10.07,-38.50,22.03,48364
-5.20,8.73,-1.63,-0.24,0.17,0.38,-13.87,-47.95,21.84,48498
-3.40,7.84,-5.49,-1.27,1.12,-0.68,-22.68,-57.78,13.27,48631
-10.64,4.18,-2.94,0.29,-0.04,0.28,-29.99,-61.25,4.91,48765
2.18,19.44,1.35,-0.04,-2.79,3.47,-42.09,-46.10,14.83,48899
-37.42,-39.20,-14.42,5.33,-4.59,0.59,5.44,8.49,38.13,49033
-2.86,16.13,-3.25,0.70,-1.09,1.00,20.94,19.58,15.99,49166
14.61,21.51,-17.80,-4.04,8.67,-8.83,4.52,14.98,18.09,49300
-38.54,19.47,-22.93,5.50,2.59,-6.38,-14.15,6.28,6.56,49434
-4.78,5.84,-6.64,-1.94,1.85,-0.20,0.89,-20.34,18.68,49568
-4.84,10.56,0.44,-0.46,0.87,-0.43,-3.27,-48.33,14.59,49702
-6.53,5.55,-6.87,0.17,-0.37,-0.54,-0.94,-61.91,9.76,49835
3.79,24.39,15.54,-2.49,-1.22,3.88,-29.36,-63.20,8.30,49969
-8.06,6.12,4.68,4.44,-6.90,1.56,-9.43,-8.86,51.87,50103
-9.16,0.88,-13.81,0.60,0.80,-4.46,2.86,4.69,50.42,50237
9.03,31.24,-39.16,-0.70,0.74,1.60,7.91,16.91,38.98,50371
12.35,-30.78,8.62,-7.19,5.03,6.17,-34.13,-2.95,24.10,50504
-4.22,-1.48,-11.47,-2.48,0.46,0.44,-29.09,11.25,9.08,50638
-0.92,10.09,-2.77,-0.38,-2.00,-0.16,-23.71,8.08,10.51,50772
0.60,8.01,-1.15,-0.19,-0.51,-0.06,-19.70,8.11,13.01,50906
-5.87,3.55,-8.59,-0.61,-0.64,-0.96,-16.94,7.45,14.70,51040
-5.74,4.17,-8.09,-3.03,-3.71,0.32,-14.22,1.81,12.10,51173
0.42,37.82,-14.86,0.81,2.78,6.17,-9.11,-10.27,7.10,51307
-4.73,10.98,1.00,-1.13,0.61,-0.59,-1.89,-22.86,10.90,51441
-10.66,2.84,-5.53,-0.27,0.72,0.09,-3.03,-36.92,7.92,51575
-1.88,6.79,-8.40,0.79,-0.52,0.20,0.53,-38.99,11.33,51708
8.86,13.20,-14.85,3.09,-1.00,10.78,-18.30,-26.24,21.08,51842
-3.09,9.40,11.10,1.88,-4.40,0.63,10.27,1.30,27.11,51976
-10.16,3.88,-8.56,-1.84,0.02,-0.63,11.63,1.39,24.79,52110
-14.78,-0.18,-9.07,0.21,-0.45,0.16,15.20,0.80,23.82,52244
6.67,13.76,-8.62,-6.61,0.21,-7.37,11.05,0.63,25.61,52377
